***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 19-DEC-2022  11:54AM
Time(s),V,V,V,°C
0,-0.035676,-0.113418,0.825878,235.6177
60,0.002662,0.683706,0.179979,23.6474
120,-0.002662,0.697550,0.406816,23.4863
180,0,0.612353,0.359425,23.3252
240,0.103301,0.585197,0.431310,23.1640
300,0.099574,0.549521,0.480830,23.0029
360,0.110756,0.533014,0.495207,22.8418
420,0.026091,0.536741,0.531416,22.7612
480,0.100639,0.535144,0.534611,22.6806
540,0.109691,0.556443,0.566560,22.5195
600,-0.054845,0.503727,0.554313,22.5195
660,0.092119,0.535676,0.727902,22.4389
720,0.104366,0.518104,0.616081,22.3584
780,0.100639,0.550586,0.644835,22.2778
840,0.060703,0.899893,0.617678,22.2778
900,0.079340,0.774760,0.596379,22.1972
960,0.080404,0.597976,0.535144,22.1167
1020,0.083067,0.534079,0.551650,22.5195
1080,0.083067,0.546326,0.523961,22.5195
1140,0.080937,0.647497,0.529819,22.4389
1200,-0.033014,0.650160,0.547923,22.3584
1260,0.039936,0.654419,0.576677,22.2778
1320,-0.050586,0.650160,0.538871,22.1972
1380,0.060170,0.659212,0.571885,22.1167
1440,0.036209,0.661342,0.623535,22.1167
1500,0.017039,0.668264,0.595846,22.1167
1560,0.060703,0.695953,0.620873,22.1167
1620,0.061235,0.702875,0.625133,22.0361
1680,0.056443,0.718850,0.654419,22.0361
1740,0.051118,0.734824,0.663472,21.9555
1800,0.045793,0.739616,0.673589,21.9555
1860,-0.107029,0.737487,0.679979,21.9555
1920,0.030351,0.725239,0.688498,21.9555
1980,0.044728,0.725239,0.693291,21.8750
2040,0.037806,0.728967,0.703940,21.8750
2100,0.036741,0.732694,0.708200,21.8750
2160,0.037806,0.825878,0.685836,21.8750
2220,0.036209,0.802449,0.658679,21.8750
2280,0.033014,0.824281,0.657082,21.7944
2340,0.031949,0.861555,0.669329,21.7944
2400,0.033014,0.921725,0.685836,21.7944
2460,-0.013312,0.946219,0.719382,21.7944
2520,-0.050586,0.956336,0.727369,21.7944
2580,0.026624,0.939297,0.779553,21.7944
2640,0.038338,0.911608,0.762513,21.7944
2700,0.041001,1.000000,0.768370,21.7944
2760,0.037806,1.000000,0.768903,21.7944
2820,0.034611,0.994675,0.770500,21.7944
2880,-0.066028,0.998935,0.786475,21.7944
2940,-0.020767,1.000000,0.774228,21.7944
3000,-0.029819,1.000000,0.774760,21.7944
3060,0.033014,1.000000,0.776358,21.7944
3120,-0.018104,1.000000,0.777423,21.8750
3180,0.025026,1.000000,0.778488,22.3584
3240,0.027689,1.000000,0.779553,22.6806
3300,0.027689,1.000000,0.779553,23.0835
3360,-0.062300,1.000000,0.780085,23.0029
3420,-0.012247,1.000000,0.781682,22.9223
3480,0.043131,1.000000,0.782215,22.8418
3540,0.021832,1.000000,0.783280,22.9223
3600,0.028221,1.000000,0.783812,22.6806
3660,0.018104,1.000000,0.784345,22.9223
3720,0.025559,1.000000,0.784877,22.9223
3780,0.025026,1.000000,0.785942,22.7612
3840,0.030351,1.000000,0.786475,22.6806
3900,-0.033546,1.000000,0.787007,22.6001
3960,0.019169,1.000000,0.788072,22.5195
4020,0.021299,1.000000,0.788072,22.5195
4080,0.018104,1.000000,0.790202,22.5195
4140,-0.002130,1.000000,0.790735,22.4389
4200,0.011182,1.000000,0.791267,22.6806
4260,-0.129925,1.000000,0.792332,22.7612
4320,0.003727,1.000000,0.792865,22.6001
4380,0.019169,1.000000,0.793930,22.5195
4440,0.023961,1.000000,0.793397,22.9223
4500,0.009584,1.000000,0.793930,22.9223
4560,0.013312,1.000000,0.794462,22.8418
4620,0.019169,1.000000,0.794995,22.6806
4680,0.021832,1.000000,0.794462,22.6001
4740,0.021299,1.000000,0.795527,22.5195
4800,0.021299,0.991480,0.795527,22.6001
4860,0.011182,0.981896,0.795527,22.4389
4920,0.018104,0.986688,0.795527,22.4389
4980,0.017039,1.000000,0.796059,22.3584
5040,0.015974,1.000000,0.797124,22.3584
5100,0.005325,0.972311,0.797657,22.3584
5160,0.015442,0.965921,0.798189,22.2778
5220,0.019702,0.952609,0.798189,22.2778
5280,0.018637,0.956869,0.799254,22.1972
5340,0.018104,1.000000,0.800319,22.1972
5400,0.015974,0.994675,0.799787,22.1972
5460,0.018637,0.942492,0.800852,22.1167
5520,0.018637,0.949414,0.800852,22.1167
5580,0.019169,0.989350,0.800852,22.1167
5640,0.003195,0.943024,0.801384,22.1167
5700,-0.015442,0.943024,0.802449,22.1167
5760,0.012779,0.934505,0.802982,22.0361
5820,0.017039,1.000000,0.803514,21.9555
5880,0.015974,1.000000,0.805112,22.0361
5940,0.013844,0.977636,0.805112,21.9555
6000,0.013844,0.924388,0.804579,21.9555
6060,-0.058040,0.925452,0.805112,21.9555
6120,-0.079872,0.920660,0.804579,21.8750
6180,-0.023961,0.923323,0.804579,21.8750
6240,0.013844,0.937700,0.804047,21.8750
6300,0.026091,0.934505,0.804579,21.8750
6360,0.019169,0.937700,0.807242,21.7944
6420,-0.056975,0.934505,0.810436,21.7944
6480,0.004792,0.927582,0.809372,21.7944
6540,0.018637,0.922257,0.803514,21.7944
6600,0.019169,0.925985,0.810969,21.7944
6660,0.018104,1.000000,0.810969,21.7944
6720,0.017039,0.977636,0.812034,21.7944
6780,0.015442,0.939297,0.811501,21.7138
6840,0.015974,0.929180,0.811501,21.7944
6900,0.011714,0.925985,0.811501,21.7138
6960,0.008519,0.926517,0.810969,21.7138
7020,0.009584,0.923855,0.812566,21.7138
7080,0.012247,0.921725,0.812034,21.7138
7140,0.010649,0.924388,0.811501,21.7138
7200,-0.038338,0.924388,0.811501,21.6333
7260,0.015974,0.984558,0.811501,21.6333
7320,0.012247,0.969116,0.810969,21.6333
7380,0.011714,0.923855,0.810436,21.6333
7440,0.009584,0.927050,0.810436,21.6333
7500,0.007455,0.918530,0.810436,21.6333
7560,0.001065,0.911608,0.812034,21.6333
7620,-0.008520,0.909478,0.811501,21.6333
7680,-0.017572,0.906816,0.810969,21.6333
7740,0.001597,0.916933,0.811501,21.6333
7800,0.003195,0.914803,0.811501,21.6333
7860,0.004260,0.914270,0.810969,21.5527
7920,0.004260,0.910543,0.810969,21.5527
7980,-0.062300,0.910543,0.810969,21.5527
8040,-0.003195,0.913738,0.810969,21.6333
8100,0,0.911608,0.810969,21.5527
8160,-0.194888,0.912140,0.810969,21.5527
8220,-0.018104,0.911608,0.811501,21.5527
8280,0.007455,0.911608,0.812034,21.5527
8340,0.010117,0.912140,0.812034,21.5527
8400,0.009052,0.912673,0.811501,21.5527
8460,0.007455,0.912673,0.811501,21.5527
8520,0.007455,0.954206,0.811501,21.5527
8580,0.007987,0.947817,0.811501,21.5527
8640,0.007455,0.930777,0.812034,21.4721
8700,-0.038338,0.916400,0.812034,21.5527
8760,-0.004792,0.854100,0.811501,21.4721
8820,0.004260,0.833333,0.811501,21.4721
8880,0.003727,0.785410,0.811501,21.4721
8940,0.006390,0.819489,0.811501,21.4721
9000,0.005325,0.906283,0.811501,21.4721
9060,0.003195,0.983493,0.811501,21.4721
