***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 19-DEC-2022  01:50PM
Time(s),V,V,V,°C
0,-0.821619,0.352503,0.472843,81.5532
60,-0.938232,0.490948,0.253461,23.6446
120,-0.944089,0.410011,0.256656,23.8887
180,-0.886581,0.402023,0.290202,24.0717
240,-0.936102,0.412673,0.292865,24.0107
300,-0.929180,0.408945,0.280085,23.8887
360,-0.842918,0.403621,0.260383,23.7666
420,-0.795527,0.414803,0.244941,23.7056
480,-0.721512,0.415335,0.227369,23.6446
540,-0.712992,0.406816,0.217785,23.5836
600,-0.660809,0.399893,0.209265,23.5225
660,-0.599041,0.440894,0.204473,23.5225
720,-0.594782,0.438765,0.202343,23.4615
780,-0.585197,0.433972,0.200745,23.4615
840,-0.613951,0.436102,0.200213,23.4005
900,-0.616081,0.435037,0.203408,23.4005
960,-0.592119,0.427050,0.205538,23.3395
1020,-0.558573,0.440362,0.207135,23.3395
1080,-0.562833,0.451544,0.208200,23.3395
1140,-0.553780,0.454206,0.208200,23.3395
1200,-0.499467,0.469116,0.207668,23.3395
1260,-0.456869,0.455271,0.206603,23.4615
1320,-0.478701,0.438765,0.204473,23.5225
1380,-0.473908,0.434505,0.201278,23.4615
1440,-0.462726,0.423855,0.197018,23.4615
1500,-0.449414,0.596911,0.191161,23.4005
1560,-0.431842,0.406283,0.201278,23.4005
1620,-0.416933,0.424920,0.195953,23.3395
1680,-0.401491,0.403088,0.195953,23.3395
1740,-0.388179,0.402556,0.193291,23.2785
1800,-0.381789,0.403621,0.193291,23.2785
1860,-0.369542,0.412673,0.186901,23.2785
1920,-0.361555,0.408413,0.183173,23.2174
1980,-0.355165,0.401491,0.180511,23.2174
2040,-0.341320,0.419595,0.176251,23.2174
2100,-0.333333,0.409478,0.180511,23.2174
2160,-0.322684,0.404153,0.177849,23.1564
2220,-0.311501,0.411075,0.175719,23.1564
2280,-0.304047,0.582535,0.176251,23.1564
2340,-0.293397,0.430777,0.176784,23.1564
2400,-0.283812,0.426517,0.182108,23.0954
2460,-0.272630,0.405751,0.185836,23.0954
2520,-0.268370,0.397231,0.185303,23.0954
2580,-0.255058,0.419063,0.187966,23.0954
2640,-0.243344,0.427582,0.184238,23.0954
2700,-0.233227,0.433440,0.184771,23.0344
2760,-0.224707,0.448882,0.179446,23.0344
2820,-0.217785,0.453142,0.177849,23.0344
2880,-0.209797,0.462726,0.172524,23.0344
2940,-0.231629,0.473376,0.170394,23.1564
3000,-0.151225,0.477636,0.169329,23.2785
3060,-0.130990,0.473908,0.195420,23.2785
3120,-0.096379,0.470181,0.173589,23.2785
3180,-0.100106,0.479233,0.159744,23.2174
3240,-0.060170,0.484025,0.156549,23.2174
3300,-0.035676,0.493610,0.159212,23.1564
3360,0.004792,0.498402,0.175186,23.1564
3420,0.005325,0.501597,0.156549,23.1564
3480,0.022896,0.505325,0.152289,23.0954
3540,0.025559,0.513844,0.149095,23.0954
3600,0.113418,0.514909,0.146965,23.0954
3660,0.108094,0.513312,0.142705,23.0344
3720,0.160809,0.515974,0.140575,23.0344
3780,0.191161,0.519702,0.140575,23.0344
3840,0.204473,0.519702,0.139510,22.9734
3900,0.211395,0.521832,0.138977,22.9734
3960,0.218317,0.521299,0.138977,22.9734
4020,0.186368,0.524494,0.136848,22.9734
4080,0.229499,0.523961,0.135783,22.9734
4140,0.234824,0.527156,0.134185,22.9734
4200,0.208200,0.527689,0.153887,22.9123
4260,0.194356,0.526624,0.143770,22.9123
4320,0.193823,0.525559,0.142172,22.9123
4380,0.190096,0.524494,0.139510,22.9123
4440,0.194356,0.528754,0.138445,22.9123
4500,0.187433,0.539404,0.140042,22.9123
4560,0.192226,0.536741,0.140042,22.9123
4620,0.198615,0.544196,0.139510,22.9123
4680,0.194888,0.543663,0.140575,22.9123
4740,0.193823,0.543663,0.140042,22.9123
4800,0.191693,0.562300,0.141107,22.9123
4860,0.190096,0.563898,0.140575,22.9123
4920,0.189031,0.567092,0.140042,22.9123
4980,0.187433,0.574547,0.139510,22.9123
5040,0.171459,0.572950,0.140042,22.9123
5100,0.140042,0.574015,0.142172,23.0344
