***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Time(s),V,V,V,°C
0,0.771033,0.591587,0.615016,205.3247
60,0.791800,0.781150,0.778488,21.0693
120,0.801917,0.794462,0.792332,21.1499
180,0.807774,0.802982,0.800319,21.0693
240,0.812034,0.807774,0.805112,21.1499
300,0.815761,0.811501,0.808839,21.2304
360,0.818956,0.814164,0.811501,21.0693
420,0.820554,0.816294,0.813099,20.9888
480,0.821619,0.818424,0.814696,20.9082
540,0.822684,0.820021,0.815229,20.9082
600,0.823216,0.821086,0.816294,20.8276
660,0.823749,0.821619,0.816294,20.8276
720,0.823749,0.821619,0.816826,20.7471
780,0.823749,0.822151,0.816826,20.7471
840,0.823749,0.822151,0.817359,20.6665
900,0.823749,0.822151,0.817359,20.6665
960,0.823749,0.822151,0.817359,20.6665
1020,0.823749,0.822151,0.817359,20.5859
1080,0.823749,0.822151,0.817359,20.5859
1140,0.823749,0.821619,0.817891,20.5859
1200,0.823749,0.821619,0.817891,20.5054
1260,0.823749,0.821619,0.818424,20.5054
1320,0.823749,0.822151,0.818424,20.5054
1380,0.824281,0.822151,0.818956,20.5054
1440,0.824281,0.822684,0.819489,20.5054
1500,0.824813,0.823216,0.820554,20.5054
1560,0.825346,0.823749,0.821086,20.5054
1620,0.825878,0.824281,0.821619,20.4248
1680,0.826411,0.824813,0.821619,20.5054
1740,0.826943,0.825878,0.822151,20.4248
1800,0.827476,0.826411,0.822684,20.4248
1860,0.828008,0.826943,0.823216,20.4248
1920,0.828541,0.827476,0.823749,20.4248
1980,0.829606,0.828008,0.823749,20.4248
2040,0.830138,0.828541,0.824281,20.4248
2100,0.830138,0.829073,0.824813,20.4248
2160,0.830671,0.829073,0.824813,20.3442
2220,0.831203,0.829606,0.825346,20.3442
2280,0.831736,0.830671,0.825346,20.3442
2340,0.832268,0.830671,0.825878,20.3442
2400,0.832801,0.831203,0.826411,20.3442
2460,0.832801,0.831736,0.826411,20.3442
2520,0.833333,0.831736,0.826943,20.2637
2580,0.833333,0.832268,0.826943,20.2637
2640,0.833866,0.832268,0.826943,20.2637
2700,0.833866,0.832801,0.827476,20.2637
2760,0.834398,0.832801,0.827476,20.2637
2820,0.834398,0.832801,0.828008,20.2637
2880,0.834398,0.833333,0.828008,20.2637
2940,0.834931,0.833333,0.828008,20.2637
3000,0.834931,0.833333,0.828008,20.2637
3060,0.834931,0.833333,0.828008,20.1831
3120,0.834931,0.833333,0.828008,20.1831
3180,0.835463,0.833333,0.828008,20.1831
3240,0.835463,0.833333,0.828541,20.1831
3300,0.835463,0.833333,0.828541,20.2637
3360,0.835463,0.833333,0.828541,20.1831
3420,0.835463,0.833333,0.828541,20.1831
3480,0.835463,0.833333,0.828008,20.1831
3540,0.835463,0.833333,0.828008,20.1831
3600,0.835463,0.833333,0.828541,20.1831
3660,0.835463,0.833333,0.828541,20.1025
3720,0.835463,0.833333,0.828541,20.1831
3780,0.835463,0.833333,0.828541,20.1831
3840,0.835463,0.833333,0.828541,20.1831
3900,0.835463,0.832801,0.828541,20.1831
3960,0.835463,0.832801,0.828541,20.1831
4020,0.835463,0.832801,0.828541,20.1831
4080,0.835463,0.832801,0.828541,20.1831
4140,0.835463,0.832801,0.829073,20.1025
4200,0.835463,0.832801,0.829073,20.1025
4260,0.835463,0.832801,0.829073,20.1831
4320,0.835463,0.832801,0.829073,20.1025
4380,0.835463,0.832801,0.829073,20.1025
4440,0.835996,0.832801,0.829606,20.1025
4500,0.835996,0.832801,0.829606,20.1025
4560,0.835996,0.832801,0.829606,20.1025
4620,0.835996,0.833333,0.829606,20.1025
4680,0.835996,0.833333,0.830138,20.1025
4740,0.835996,0.833333,0.830138,20.1025
4800,0.836528,0.833333,0.830671,20.1025
4860,0.836528,0.833333,0.830671,20.0220
4920,0.836528,0.833333,0.830671,20.1025
4980,0.836528,0.833333,0.830671,20.1025
5040,0.836528,0.833866,0.831203,20.1025
5100,0.836528,0.833866,0.831203,20.1025
5160,0.836528,0.834398,0.831203,20.1025
5220,0.836528,0.834398,0.831203,20.0220
5280,0.836528,0.834398,0.831203,20.1025
5340,0.837061,0.834398,0.831736,20.1025
5400,0.837061,0.834398,0.832268,20.0220
5460,0.837061,0.834931,0.832268,20.0220
5520,0.837061,0.834931,0.832268,20.0220
5580,0.837061,0.834931,0.832268,20.1025
5640,0.837061,0.834931,0.832801,20.1025
5700,0.837061,0.835463,0.832801,20.0220
5760,0.837593,0.835463,0.832801,20.0220
5820,0.837593,0.835996,0.833333,20.1025
5880,0.837593,0.836528,0.833333,20.0220
5940,0.837593,0.836528,0.833866,20.0220
6000,0.837593,0.836528,0.833866,20.0220
6060,0.837593,0.837061,0.833866,20.0220
6120,0.838126,0.837061,0.833866,20.0220
6180,0.837593,0.837061,0.834398,20.0220
6240,0.837593,0.837593,0.834398,19.9414
6300,0.837593,0.837593,0.834398,20.0220
6360,0.838126,0.838126,0.834398,19.9414
6420,0.837593,0.838658,0.834931,20.0220
6480,0.838126,0.838658,0.834931,20.0220
6540,0.838126,0.838658,0.834931,20.0220
6600,0.838126,0.839190,0.835463,19.9414
6660,0.838126,0.839190,0.835463,19.9414
6720,0.837593,0.839723,0.835463,19.9414
6780,0.838126,0.839723,0.835463,20.0220
6840,0.838126,0.840255,0.835463,19.9414
6900,0.838126,0.840788,0.835463,19.9414
6960,0.838126,0.840788,0.835463,19.9414
7020,0.838126,0.841320,0.835996,19.9414
7080,0.837593,0.841320,0.835996,19.9414
7140,0.837593,0.841853,0.836528,19.9414
7200,0.837593,0.841853,0.836528,19.9414
7260,0.837593,0.842385,0.836528,20.0220
7320,0.837593,0.842918,0.836528,19.9414
7380,0.837593,0.842918,0.836528,19.9414
7440,0.837061,0.843450,0.837061,19.9414
7500,0.837061,0.843450,0.837061,19.9414
7560,0.835996,0.843450,0.836528,19.9414
7620,0.835463,0.843450,0.836528,19.9414
7680,0.835463,0.843983,0.836528,19.9414
7740,0.834931,0.844515,0.836528,19.9414
7800,0.834398,0.845048,0.836528,19.9414
7860,0.833333,0.845048,0.837061,19.9414
7920,0.832801,0.845048,0.837061,19.9414
7980,0.832268,0.845048,0.837061,19.9414
8040,0.831736,0.844515,0.837593,19.9414
8100,0.830671,0.844515,0.837593,19.9414
8160,0.830138,0.843983,0.837593,19.9414
8220,0.830671,0.843450,0.838126,19.9414
8280,0.830138,0.842918,0.838126,19.9414
8340,0.829073,0.842918,0.838658,19.9414
8400,0.828541,0.842385,0.838658,19.9414
8460,0.829073,0.841853,0.838658,19.8608
8520,0.828541,0.841853,0.838126,19.9414
8580,0.827476,0.841320,0.837593,19.9414
8640,0.826943,0.840788,0.837061,19.8608
8700,0.826411,0.840788,0.836528,19.8608
8760,0.825878,0.840255,0.835463,19.9414
8820,0.824813,0.839723,0.834931,19.8608
8880,0.824281,0.839190,0.833866,19.9414
8940,0.823749,0.839190,0.832801,19.9414
9000,0.822684,0.838658,0.831736,19.9414
9060,0.822151,0.838126,0.830671,19.8608
9120,0.821619,0.838126,0.829606,19.8608
9180,0.820554,0.837593,0.828008,19.8608
9240,0.819489,0.837061,0.827476,19.8608
9300,0.818956,0.837061,0.826411,19.8608
9360,0.817891,0.836528,0.825346,19.8608
9420,0.816826,0.836528,0.824281,19.8608
9480,0.815761,0.835463,0.823749,19.8608
9540,0.815229,0.835463,0.822684,19.8608
9600,0.814696,0.834931,0.822151,19.8608
9660,0.814164,0.834398,0.821619,19.8608
9720,0.813631,0.834398,0.820554,19.8608
9780,0.813099,0.833866,0.820021,19.8608
9840,0.812566,0.833333,0.819489,19.8608
9900,0.811501,0.832801,0.818424,19.8608
9960,0.810969,0.832801,0.816826,19.8608
10020,0.812034,0.832268,0.815761,19.8608
10080,0.811501,0.831736,0.815229,19.8608
10140,0.810969,0.831203,0.814696,19.8608
10200,0.809904,0.831203,0.813631,19.8608
10260,0.809372,0.831203,0.813099,19.8608
10320,0.808307,0.830671,0.812566,19.8608
10380,0.807774,0.830138,0.812034,19.8608
10440,0.807242,0.830138,0.811501,19.8608
10500,0.806177,0.829606,0.810436,19.8608
10560,0.805112,0.829606,0.809904,19.8608
10620,0.804579,0.829073,0.809372,19.8608
10680,0.802982,0.829073,0.808839,19.8608
10740,0.802449,0.828541,0.808307,19.8608
10800,0.801384,0.828008,0.807242,19.8608
10860,0.800319,0.828008,0.806709,19.8608
10920,0.799254,0.828008,0.805644,19.8608
10980,0.798722,0.827476,0.805112,19.8608
11040,0.797124,0.826943,0.804579,19.8608
11100,0.796592,0.826411,0.803514,19.8608
11160,0.794995,0.826411,0.802449,19.8608
11220,0.793930,0.825878,0.801384,19.8608
11280,0.792865,0.825346,0.800852,19.8608
11340,0.791800,0.824813,0.799787,19.8608
11400,0.790735,0.824281,0.798722,19.8608
11460,0.789670,0.823749,0.797657,19.8608
11520,0.788605,0.823216,0.796592,19.8608
11580,0.787540,0.822684,0.795527,19.8608
11640,0.786475,0.822151,0.794462,19.7803
11700,0.785942,0.821619,0.793397,19.8608
11760,0.784877,0.821086,0.792332,19.7803
11820,0.783812,0.820021,0.791267,19.8608
11880,0.782747,0.818956,0.789670,19.8608
11940,0.781682,0.817359,0.788605,19.8608
12000,0.780618,0.815761,0.787540,19.8608
12060,0.780085,0.814696,0.785942,19.7803
12120,0.779020,0.813631,0.784877,19.8608
12180,0.778488,0.812566,0.783812,19.8608
12240,0.777955,0.811501,0.782215,19.7803
12300,0.777423,0.810969,0.781150,19.7803
12360,0.776890,0.809372,0.780085,19.7803
12420,0.775825,0.808307,0.779020,19.8608
12480,0.775293,0.807242,0.777423,19.7803
12540,0.773695,0.806177,0.776358,19.8608
12600,0.773695,0.805112,0.775293,19.7803
12660,0.773163,0.804047,0.774228,19.7803
12720,0.772098,0.802449,0.772630,19.7803
