***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Start: 05-DEC-2022  03:11PM,,,,,
Time(s),V1,V2,V3,°C,Vavg
0,0.702343,0.312566,0.06443,,0.359779667
60,0.823216,0.322151,0.767838,27.3058,0.637735
120,0.799254,0.315761,0.771033,27.0007,0.628682667
180,0.848243,0.311501,0.773163,26.7566,0.644302333
240,0.695953,0.307242,0.774228,26.5126,0.592474333
300,0.668264,0.305112,0.775825,26.2685,0.583067
360,0.667199,0.302449,0.776358,26.0244,0.582002
420,0.654419,0.301384,0.77689,25.8413,0.577564333
480,0.651225,0.300319,0.777955,25.7193,0.576499667
540,0.646965,0.297657,0.777955,25.5362,0.574192333
600,0.651225,0.296592,0.778488,25.4142,0.575435
660,0.634185,0.294462,0.778488,25.2311,0.569045
720,-0.888711,0.292332,0.780618,25.1091,0.061413
780,0.615548,0.291267,0.783812,24.987,0.563542333
840,0.611821,0.289137,0.784345,24.865,0.561767667
900,0.643237,0.287007,0.784877,24.804,0.571707
960,0.593717,0.284877,0.784877,24.6819,0.554490333
1020,0.651225,0.28328,0.784877,24.6209,0.573127333
1080,-0.177849,0.281682,0.78541,24.5599,0.296414333
1140,0.570287,0.280618,0.785942,24.4379,0.545615667
1200,0.571885,0.279553,0.786475,24.3768,0.545971
1260,0.660277,0.277955,0.787007,24.3158,0.575079667
1320,0.566027,0.277423,0.78754,24.2548,0.543663333
1380,0.56017,0.276358,0.788072,24.1938,0.541533333
1440,0.767305,0.276358,0.789137,24.1327,0.610933333
1500,0.517039,0.275825,0.78967,24.0717,0.527511333
1560,0.711927,0.27476,0.790202,24.0717,0.592296333
1620,0.537806,0.27476,0.791267,24.0107,0.534611
1680,0.460064,0.274228,0.792332,23.9497,0.508874667
1740,0.624068,0.273163,0.792865,23.8887,0.563365333
1800,0.65016,0.273163,0.79393,23.8887,0.572417667
1860,0.452609,0.27263,0.794995,23.8276,0.506744667
1920,0.663472,0.272098,0.796059,23.8276,0.577209667
1980,0.507455,0.271565,0.797124,23.7666,0.525381333
2040,0.4164,0.271565,0.797657,23.7056,0.495207333
2100,0.625665,0.271565,0.798189,23.7056,0.565139667
2160,0.625133,0.271565,0.799254,23.7056,0.565317333
2220,0.605431,0.271565,0.799787,23.6446,0.558927667
2280,-0.026624,0.271033,0.799787,23.6446,0.348065333
2340,0.010117,0.271033,0.800852,23.5836,0.360667333
2400,0.069222,0.2705,0.801384,23.5836,0.380368667
2460,-0.005325,0.269968,0.802449,23.5836,0.355697333
2520,0.016507,0.269968,0.802449,23.5225,0.362974667
2580,0.013312,0.269435,0.802982,23.5225,0.361909667
2640,0.027156,0.269435,0.803514,23.5225,0.366701667
2700,0.018104,0.269435,0.804047,23.4615,0.363862
2760,0.07082,0.268903,0.804579,23.4615,0.381434
2820,0.638445,0.268903,0.804579,23.4615,0.570642333
2880,0.664537,0.268903,0.805112,23.4005,0.579517333
2940,-0.07508,0.268903,0.806177,23.4005,0.333333333
3000,0.125133,0.268903,0.806709,23.4005,0.400248333
3060,0.129393,0.26837,0.806709,23.4005,0.401490667
3120,0.604899,0.26837,0.807242,23.3395,0.560170333
3180,0.591587,0.26837,0.807774,23.3395,0.555910333
3240,0.583599,0.26837,0.808307,23.3395,0.553425333
3300,0.57934,0.267838,0.808839,23.3395,0.552005667
3360,0.546326,0.267305,0.808839,23.3395,0.540823333
3420,0.546326,0.267305,0.809372,23.2785,0.541001
3480,0.559105,0.266241,0.809904,23.2785,0.545083333
3540,0.542066,0.265708,0.809904,23.2785,0.539226
3600,0.536209,0.265176,0.810436,23.2785,0.537273667
3660,0.528221,0.264643,0.810436,23.2785,0.534433333
3720,0.509052,0.263578,0.811501,23.2785,0.528043667
3780,0.49574,0.263046,0.811501,23.2174,0.523429
3840,0.48296,0.262513,0.812034,23.2785,0.519169
3900,0.451544,0.261981,0.812034,23.2174,0.508519667
3960,0.556443,0.261448,0.812566,23.2174,0.543485667
4020,-0.463259,0.260383,0.812566,23.2174,0.20323
4080,-0.897763,0.259851,0.813099,23.2174,0.058395667
4140,0.740149,0.259318,0.813099,23.2174,0.604188667
4200,0.626198,0.258253,0.813631,23.2174,0.566027333
4260,0.596379,0.257721,0.814164,23.1564,0.556088
4320,-0.768903,0.256656,0.814164,23.1564,0.100639
4380,0.462726,0.256123,0.814696,23.1564,0.511181667
4440,0.646432,0.255591,0.815229,23.1564,0.572417333
4500,0.562833,0.254526,0.815761,23.1564,0.544373333
4560,0.571352,0.253461,0.815761,23.0954,0.546858
4620,0.552183,0.252928,0.816826,23.0954,0.540645667
4680,0.530351,0.251864,0.816826,23.0954,0.533013667
4740,0.498402,0.251331,0.816826,23.0954,0.522186333
4800,0.477636,0.250266,0.817359,23.0954,0.515087
4860,0.601704,0.249734,0.817359,23.0954,0.556265667
4920,0.507987,0.248669,0.817891,23.0344,0.524849
4980,0.590522,0.247604,0.817891,23.0344,0.552005667
5040,0.49787,0.246539,0.817891,23.0344,0.520766667
5100,0.471778,0.245474,0.818424,23.0344,0.511892
5160,0.447284,0.244409,0.818424,23.0344,0.503372333
5220,0.431842,0.243876,0.818424,23.0344,0.498047333
5280,-0.748136,0.243344,0.818956,23.0344,0.104721333
5340,-0.851438,0.242279,0.819489,23.0344,0.07011
5400,-0.940894,0.241214,0.819489,22.9734,0.039936333
5460,-0.86262,0.240149,0.819489,22.9734,0.065672667
5520,0.620341,0.239616,0.820021,22.9734,0.559992667
5580,0.677316,0.239084,0.820554,22.9734,0.578984667
5640,0.640042,0.238019,0.820554,22.9734,0.566205
5700,0.563898,0.237487,0.820554,22.9734,0.540646333
5760,0.465921,0.236422,0.821086,22.9734,0.507809667
5820,0.050586,0.235357,0.821086,22.9734,0.369009667
5880,0.461129,0.234292,0.821619,22.9734,0.50568
5940,0.625133,0.233759,0.821619,22.9734,0.560170333
6000,0.603301,0.232694,0.821619,22.9123,0.552538
6060,0.247071,0.232162,0.821619,22.9123,0.433617333
6120,-0.543663,0.231097,0.822151,22.9123,0.169861667
6180,0.615016,0.230564,0.822151,22.9123,0.555910333
6240,-0.898296,0.228967,0.822684,22.9123,0.051118333
6300,0.62673,0.227902,0.822684,22.9123,0.559105333
6360,0.614483,0.226837,0.822684,22.9123,0.554668
6420,0.835463,0.226304,0.823216,22.9123,0.628327667
6480,0.800319,0.225772,0.823216,22.9123,0.616435667
6540,0.578275,0.224707,0.823749,22.9123,0.542243667
6600,0.534611,0.224174,0.823749,22.9123,0.527511333
6660,0.681576,0.222577,0.824281,22.9123,0.576144667
6720,0.588924,0.222045,0.824281,22.8513,0.545083333
6780,0.57721,0.22098,0.824281,22.8513,0.540823667
6840,0.55165,0.219915,0.824281,22.8513,0.531948667
6900,0.514909,0.219382,0.824813,22.8513,0.519701333
6960,0.466453,0.218317,0.824813,22.8513,0.503194333
7020,0.486155,0.217252,0.824813,22.8513,0.509406667
7080,0.625133,0.215655,0.825346,22.8513,0.555378
7140,0.579872,0.21459,0.825346,22.8513,0.539936
7200,0.544728,0.212992,0.825878,22.8513,0.527866
7260,0.748136,0.21246,0.825878,22.8513,0.595491333
7320,0.583599,0.211395,0.825878,22.8513,0.540290667
7380,0.539936,0.21033,0.825878,22.8513,0.525381333
7440,0.514909,0.209265,0.826411,22.8513,0.516861667
7500,0.501065,0.2082,0.826411,22.8513,0.511892
7560,0.478168,0.207135,0.826943,22.8513,0.504082
7620,0.451011,0.20607,0.826943,22.7903,0.494674667
7680,0.42492,0.204473,0.826943,22.7903,0.485445333
7740,0.417998,0.202875,0.827476,22.8513,0.482783
7800,0.402556,0.202343,0.827476,22.7903,0.477458333
7860,0.390309,0.200745,0.827476,22.7903,0.472843333
7920,0.379659,0.200213,0.828008,22.7903,0.469293333
7980,0.374334,0.199148,0.828541,22.7903,0.467341
8040,0.369009,0.198083,0.828541,22.7903,0.465211
8100,0.357827,0.195953,0.828541,22.7903,0.460773667
8160,0.34345,0.194888,0.828541,22.7903,0.455626333
8220,0.342385,0.193291,0.829073,22.7903,0.454916333
8280,0.335996,0.192226,0.829073,22.7903,0.452431667
8340,-0.814164,0.191161,0.829073,22.7903,0.06869
8400,-0.842385,0.190628,0.829606,22.7903,0.059283
8460,-0.815229,0.189031,0.829606,22.7903,0.067802667
8520,0.406283,0.187966,0.830138,22.7903,0.474795667
8580,0.579872,0.185836,0.830138,22.7903,0.531948667
8640,0.532481,0.185303,0.830138,22.7903,0.515974
8700,0.501597,0.184238,0.830671,22.7903,0.505502
8760,0.465921,0.182108,0.830671,22.7903,0.4929
8820,0.450479,0.180511,0.830671,22.7903,0.487220333
8880,0.36688,0.179446,0.831203,22.7903,0.459176333
8940,0.536209,0.177849,0.831203,22.7903,0.515087
9000,-0.472843,0.177316,0.831736,22.7293,0.178736333
9060,0.543131,0.176251,0.831736,22.7293,0.517039333
9120,0.49787,0.175186,0.831736,22.7293,0.501597333
9180,0.459531,0.173589,0.832268,22.7293,0.488462667
9240,0.406283,0.172524,0.832268,22.7293,0.470358333
9300,0.476038,0.170926,0.832268,22.7293,0.493077333
9360,-0.212992,0.169329,0.832268,22.7293,0.262868333
9420,0.414803,0.168796,0.832801,22.7293,0.472133333
9480,0.526624,0.167731,0.832801,22.7293,0.509052
9540,0.486155,0.165602,0.832801,22.7293,0.494852667
9600,0.437699,0.164537,0.832801,22.7293,0.478345667
9660,0.413738,0.164004,0.832801,22.7293,0.470181
9720,0.407881,0.162407,0.832801,22.7293,0.467696333
9780,0.377529,0.160809,0.833333,22.7293,0.457223667
9840,0.353567,0.159212,0.833333,22.7293,0.448704
9900,0.363685,0.157614,0.833333,22.7293,0.451544
9960,0.342918,0.157082,0.833333,22.7293,0.444444333
10020,0.345048,0.155484,0.833333,22.7293,0.444621667
10080,0.33919,0.154952,0.833333,22.7293,0.442491667
10140,0.344515,0.153354,0.833866,22.7293,0.443911667
10200,0.248136,0.151757,0.833866,22.7293,0.411253
10260,0.448882,0.151225,0.833866,22.7293,0.477991
10320,-0.109158,0.15016,0.833866,22.7293,0.291622667
10380,0.49787,0.149095,0.833866,22.7293,0.493610333
10440,0.435037,0.147497,0.833866,22.7293,0.472133333
10500,0.468583,0.1459,0.834398,22.7293,0.482960333
10560,0.425985,0.144835,0.834398,22.7293,0.468406
10620,-0.832801,0.143237,0.834398,22.7293,0.048278
10680,-0.768903,0.142172,0.834398,22.7293,0.069222333
10740,-0.761981,0.141107,0.834398,22.6682,0.071174667
10800,0.676784,0.138977,0.834398,22.6682,0.550053
10860,0.548456,0.138445,0.834398,22.7293,0.507099667
10920,0.503727,0.136848,0.834398,22.6682,0.491657667
10980,0.467519,0.13525,0.834398,22.6682,0.479055667
11040,0.439829,0.134185,0.834931,22.6682,0.469648333
11100,0.395101,0.13312,0.834931,22.7293,0.454384
11160,0.384984,0.132588,0.834931,22.6682,0.450834333
11220,0.363152,0.13099,0.834931,22.6682,0.443024333
11280,0.353035,0.129925,0.835463,22.6682,0.439474333
11340,0.082534,0.12886,0.835463,22.6682,0.348952333
11400,0.461661,0.128328,0.835463,22.6682,0.475150667
11460,0.395101,0.127795,0.835463,22.6682,0.452786333
11520,0.370607,0.126198,0.835463,22.6682,0.444089333
11580,0.368477,0.125665,0.835996,22.6682,0.443379333
11640,-0.897763,0.124068,0.835996,22.6682,0.020767
11700,0.661342,0.123535,0.835996,22.6682,0.540291
