***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Time(s),V1,V2,V3,°C,
0,0.28328,0.571352,0.591587,,0.482073
60,0.595846,0.677316,0.722045,24.1308,0.665069
120,0.571352,0.753461,0.77689,24.1308,0.700567667
180,0.683173,0.781682,0.793397,24.0503,0.752750667
240,0.757188,0.793397,0.802449,24.0503,0.784344667
300,0.776358,0.800852,0.808839,24.0503,0.795349667
360,0.787007,0.806177,0.813099,24.0503,0.802094333
420,0.79393,0.809904,0.815761,24.0503,0.806531667
480,0.799254,0.812566,0.818956,23.9697,0.810258667
540,0.802449,0.814164,0.820021,23.9697,0.812211333
600,0.804579,0.815761,0.821619,23.9697,0.813986333
660,0.805644,0.816826,0.822684,23.9697,0.815051333
720,0.806177,0.817891,0.823216,23.8891,0.815761333
780,0.806709,0.818956,0.824281,23.8891,0.816648667
840,0.807242,0.819489,0.824281,23.9697,0.817004
900,0.807242,0.820021,0.824813,23.8891,0.817358667
960,0.807242,0.820021,0.824813,23.9697,0.817358667
1020,0.807242,0.820021,0.825346,23.8086,0.817536333
1080,0.807242,0.820021,0.825346,23.8891,0.817536333
1140,0.807242,0.820021,0.825878,23.8891,0.817713667
1200,0.807774,0.820021,0.825878,23.8891,0.817891
1260,0.807774,0.820021,0.825346,23.8086,0.817713667
1320,0.808839,0.820021,0.825346,23.8891,0.818068667
1380,0.809372,0.820021,0.825346,23.8891,0.818246333
1440,0.809904,0.820021,0.825346,23.8891,0.818423667
1500,0.810436,0.820554,0.825878,23.8086,0.818956
1560,0.811501,0.821086,0.825878,23.8891,0.819488333
1620,0.812034,0.821086,0.825878,23.8086,0.819666
1680,0.813099,0.821086,0.825878,23.8086,0.820021
1740,0.813631,0.821619,0.825878,23.8891,0.820376
1800,0.814164,0.821619,0.825878,23.8891,0.820553667
1860,0.814696,0.821619,0.826411,23.8891,0.820908667
1920,0.815761,0.822151,0.826411,23.8086,0.821441
1980,0.816294,0.822151,0.826411,23.8086,0.821618667
2040,0.817359,0.822684,0.826943,23.8891,0.822328667
2100,0.818424,0.822684,0.826943,23.8891,0.822683667
2160,0.819489,0.823216,0.827476,23.8086,0.823393667
2220,0.820021,0.823749,0.827476,23.8086,0.823748667
2280,0.821086,0.823749,0.828008,23.8891,0.824281
2340,0.821619,0.824281,0.828008,23.8086,0.824636
2400,0.822151,0.824281,0.828541,23.8891,0.824991
2460,0.823216,0.824813,0.828541,23.8086,0.825523333
