***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Time(s),V1,V2,V3,°C,Vavg
0,0.763046,0.647497,0.629925,,0.680156
60,0.792865,0.794462,0.777955,21.7944,0.788427333
120,0.804579,0.805112,0.793397,21.7138,0.801029333
180,0.812034,0.812034,0.802982,21.7944,0.809016667
240,0.818956,0.816826,0.809904,21.7944,0.815228667
300,0.823749,0.821086,0.814696,21.7944,0.819843667
360,0.826943,0.823216,0.818956,21.7944,0.823038333
420,0.829073,0.824813,0.821619,21.875,0.825168333
480,0.831203,0.825878,0.822684,21.7944,0.826588333
540,0.832801,0.826411,0.824281,21.875,0.827831
600,0.833333,0.826943,0.825346,21.875,0.828540667
660,0.834398,0.827476,0.825878,21.875,0.829250667
720,0.834931,0.827476,0.826411,21.875,0.829606
780,0.835463,0.827476,0.826411,21.875,0.829783333
840,0.835996,0.828008,0.826943,21.875,0.830315667
900,0.836528,0.828008,0.827476,21.875,0.830670667
960,0.836528,0.828008,0.827476,21.875,0.830670667
1020,0.836528,0.828008,0.827476,21.875,0.830670667
1080,0.837061,0.828008,0.827476,21.875,0.830848333
1140,0.837061,0.828541,0.827476,21.875,0.831026
1200,0.837061,0.828541,0.827476,21.9555,0.831026
1260,0.837593,0.829073,0.828008,21.875,0.831558
1320,0.837593,0.829606,0.828008,21.9555,0.831735667
1380,0.838126,0.830138,0.828541,21.9555,0.832268333
1440,0.838126,0.830671,0.828541,21.875,0.832446
1500,0.838658,0.831203,0.829073,21.9555,0.832978
1560,0.83919,0.831203,0.829073,21.9555,0.833155333
1620,0.839723,0.832268,0.829606,21.875,0.833865667
1680,0.840255,0.031949,0.829606,21.875,0.56727
1740,0.840255,0.809372,0.830671,21.875,0.826766
1800,0.840788,0.832801,0.830671,21.9555,0.834753333
1860,0.84132,0.834931,0.831203,21.9555,0.835818
1920,0.841853,0.835996,0.831736,21.9555,0.836528333
1980,0.842385,0.837061,0.832268,21.9555,0.837238
2040,0.842918,0.837593,0.832801,21.9555,0.837770667
2100,0.84345,0.838658,0.833333,21.9555,0.838480333
