***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V) (Excluded from average as it appears to be an outlier),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Time(s),V1,V2,V3,°C,Vavg
0,0.724174,0.669861,0.665069,0,0.6970175
60,0.778488,0.755058,0.71672,22.1167,0.766773
120,0.800852,0.780085,0.724707,22.0361,0.7904685
180,0.810969,0.793397,0.746539,21.9555,0.802183
240,0.818956,0.801384,0.751331,21.7944,0.81017
300,0.823749,0.807242,0.776358,21.6333,0.8154955
360,0.826943,0.810436,0.780085,21.5527,0.8186895
420,0.830138,0.812566,0.78328,21.4721,0.821352
480,0.831736,0.814164,0.784877,21.3916,0.82295
540,0.833333,0.815229,0.785942,21.311,0.824281
600,0.834398,0.815761,0.786475,21.2304,0.8250795
660,0.834931,0.815761,0.787007,21.1499,0.825346
720,0.835463,0.815761,0.787007,21.0693,0.825612
780,0.835996,0.815761,0.786475,21.311,0.8258785
840,0.836528,0.815761,0.786475,21.3916,0.8261445
900,0.837061,0.815761,0.786475,21.311,0.826411
960,0.836528,0.815761,0.786475,21.1499,0.8261445
1020,0.836528,0.816294,0.787007,21.1499,0.826411
1080,0.835996,0.816294,0.787007,21.0693,0.826145
1140,0.836528,0.817359,0.78754,20.9888,0.8269435
1200,0.836528,0.817891,0.78754,20.9082,0.8272095
1260,0.837593,0.818956,0.788072,20.9082,0.8282745
1320,0.838126,0.820021,0.78967,20.8276,0.8290735
1380,0.837593,0.820554,0.790735,20.7471,0.8290735
1440,0.837061,0.821619,0.7918,20.7471,0.82934
1500,0.837593,0.822151,0.792865,20.6665,0.829872
1560,0.838658,0.823216,0.792865,20.6665,0.830937
1620,0.83919,0.824281,0.79393,20.5859,0.8317355
1680,0.83919,0.824813,0.794462,20.5859,0.8320015
1740,0.83919,0.825878,0.794995,20.5054,0.832534
1800,0.839723,0.826411,0.795527,20.5054,0.833067
1860,0.840788,0.827476,0.795527,20.5054,0.834132
1920,0.84132,0.828541,0.796059,20.5054,0.8349305
1980,0.841853,0.829606,0.796592,20.4248,0.8357295
2040,0.842918,0.830138,0.796592,20.4248,0.836528
2100,0.84345,0.830671,0.796592,20.3442,0.8370605
2160,0.843983,0.831736,0.797124,20.3442,0.8378595
2220,0.844515,0.832268,0.797657,20.3442,0.8383915
2280,0.845048,0.833333,0.797657,20.3442,0.8391905
2340,0.84558,0.833866,0.798189,20.3442,0.839723
2400,0.846113,0.834398,0.798189,20.3442,0.8402555
2460,0.846113,0.835463,0.798189,20.2637,0.840788
2520,0.846645,0.835996,0.798722,20.2637,0.8413205
2580,0.846645,0.836528,0.798189,20.2637,0.8415865
2640,0.847178,0.837061,0.798722,20.2637,0.8421195
2700,0.848243,0.838126,0.798722,20.1831,0.8431845
2760,0.848775,0.838658,0.799254,20.1831,0.8437165
2820,0.849308,0.83919,0.799254,20.1831,0.844249
2880,0.84984,0.839723,0.799787,20.1831,0.8447815
2940,0.850905,0.840788,0.799787,20.1831,0.8458465
3000,0.851438,0.84132,0.799787,20.1831,0.846379
3060,0.851438,0.841853,0.800319,20.1025,0.8466455
3120,0.85197,0.842385,0.766241,20.1831,0.8471775
3180,0.85197,0.842918,0.765176,20.1831,0.847444
3240,0.852503,0.84345,0.766773,20.1831,0.8479765
3300,0.853035,0.843983,0.766241,20.1831,0.848509
3360,0.853567,0.845048,0.766241,20.1831,0.8493075
3420,0.853567,0.84558,0.766773,20.1831,0.8495735
