***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Start: 28-NOV-2022  11:47AM,,,,,
Time(s),V1,V2,V3,°C,Vavg
0,0,0.579872,0.572417,,0.384096333
60,0.669861,0.768903,0.151225,23.8086,0.529996333
120,0.724707,0.782747,0.149627,23.6474,0.552360333
180,0.748669,0.789137,0.145367,23.4057,0.561057667
240,0.761981,0.793397,0.141107,23.3252,0.565495
300,0.768903,0.796592,0.13738,23.2446,0.567625
360,0.77263,0.798722,0.133653,23.164,0.568335
420,0.775293,0.799787,0.129393,23.0835,0.568157667
480,0.776358,0.800852,0.125665,22.9223,0.567625
540,0.776358,0.801384,0.121406,22.9223,0.566382667
600,0.775825,0.801917,0.117678,22.8418,0.56514
660,0.769435,0.799254,0.115548,22.7612,0.561412333
720,0.773163,0.800319,0.114483,22.6806,0.562655
780,0.776358,0.801384,0.113418,22.6001,0.56372
840,0.77902,0.802449,0.111288,22.6001,0.564252333
900,0.780618,0.802982,0.109158,22.5195,0.564252667
960,0.782215,0.802982,0.107561,22.4389,0.564252667
1020,0.783812,0.803514,0.104899,22.4389,0.564075
1080,0.784345,0.803514,0.102769,22.4389,0.563542667
1140,0.78541,0.803514,0.101171,22.3584,0.563365
1200,0.786475,0.803514,0.100106,22.2778,0.563365
1260,0.788072,0.803514,0.097976,22.2778,0.563187333
1320,0.789137,0.803514,0.096379,22.2778,0.56301
1380,0.790735,0.802982,0.094249,22.2778,0.562655333
1440,0.7918,0.802982,0.093717,22.2778,0.562833
1500,0.792865,0.802449,0.091054,22.2778,0.562122667
1560,0.794462,0.802449,0.089457,22.1972,0.562122667
1620,0.796059,0.802449,0.087859,22.1972,0.562122333
1680,0.797124,0.801917,0.085729,22.1972,0.56159
1740,0.798189,0.801917,0.084664,22.1167,0.56159
1800,0.799254,0.801384,0.083599,22.1167,0.561412333
1860,0.800319,0.801384,0.083599,22.1167,0.561767333
1920,0.801384,0.800852,0.082534,22.0361,0.56159
1980,0.802449,0.800852,0.082002,22.0361,0.561767667
2040,0.802982,0.800319,0.079872,22.0361,0.561057667
2100,0.804047,0.799787,0.078807,22.0361,0.560880333
2160,0.804579,0.799787,0.077742,22.0361,0.560702667
2220,0.805112,0.800319,0.078275,21.9555,0.561235333
2280,0.805644,0.799787,0.076677,21.9555,0.560702667
2340,0.806177,0.799787,0.076677,21.9555,0.560880333
2400,0.806177,0.798722,0.074547,21.875,0.559815333
2460,0.806709,0.798189,0.073482,21.9555,0.55946
2520,0.806709,0.798189,0.07295,21.875,0.559282667
