***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 28-NOV-2022  02:16PM
Time(s),V,V,V,°C
0,0.425452,0.747071,0.647497,171.7418
60,0.697018,0.682108,0.737487,25.1091
120,0.760383,0.764643,0.758786,25.0481
180,0.780618,0.783812,0.763578,24.9870
240,0.790202,0.793397,0.768903,24.8650
300,0.797124,0.799787,0.774228,24.7430
360,0.802449,0.804047,0.779020,24.6209
420,0.806177,0.806177,0.783280,24.5599
480,0.808839,0.807774,0.785942,24.4989
540,0.810969,0.808839,0.788605,24.4379
600,0.812034,0.809372,0.790202,24.3768
660,0.813099,0.809904,0.790735,24.3158
720,0.813631,0.809372,0.791267,24.3158
780,0.814164,0.809372,0.790735,24.3158
840,0.814696,0.808839,0.791800,24.1938
900,0.814696,0.808307,0.791267,24.1938
960,0.814696,0.807774,0.791800,24.1938
1020,0.814696,0.807242,0.792865,24.1938
1080,0.814164,0.807242,0.793397,24.1327
1140,0.814164,0.807242,0.794462,24.1327
1200,0.814164,0.806709,0.796059,24.1327
1260,0.814164,0.806709,0.796592,24.1327
1320,0.813631,0.806177,0.797124,24.0717
1380,0.813631,0.806177,0.798189,24.0717
1440,0.813631,0.806177,0.799254,24.0107
1500,0.813631,0.806709,0.799254,24.0107
1560,0.813631,0.806709,0.800319,23.9497
1620,0.813631,0.806709,0.800852,23.9497
1680,0.813631,0.806709,0.800852,23.8887
1740,0.814164,0.807242,0.802449,23.8887
1800,0.814696,0.807242,0.802982,23.8276
1860,0.815229,0.807774,0.802449,23.8276
1920,0.815229,0.807774,0.803514,23.7666
1980,0.815761,0.807774,0.804047,23.7666
2040,0.816826,0.808307,0.805112,23.7666
2100,0.817359,0.808307,0.805644,23.7666
2160,0.817891,0.808839,0.805644,23.7666
2220,0.817891,0.808839,0.807774,23.7056
2280,0.818424,0.809904,0.807774,23.7056
2340,0.818956,0.810969,0.808307,23.7056
2400,0.819489,0.811501,0.809904,23.7056
2460,0.820021,0.812034,0.810969,23.7056
2520,0.820554,0.812566,0.811501,23.6446
2580,0.821086,0.813631,0.812566,23.6446
2640,0.821619,0.814164,0.812566,23.6446
2700,0.821619,0.814696,0.813631,23.6446
2760,0.822151,0.815229,0.815229,23.6446
2820,0.822151,0.815761,0.815229,23.6446
2880,0.822684,0.816294,0.816294,23.6446
2940,0.823216,0.817359,0.816826,23.6446
3000,0.823749,0.817891,0.817891,23.6446
3060,0.823749,0.818424,0.818956,23.6446
3120,0.824281,0.818956,0.819489,23.6446
3180,0.824813,0.820021,0.820554,23.7056
3240,0.825346,0.820554,0.820554,23.7056
3300,0.825878,0.821619,0.821619,23.7666
3360,0.826411,0.822151,0.822151,23.7666
3420,0.826411,0.822684,0.824281,23.7666
3480,0.826943,0.823216,0.825346,23.7666
3540,0.827476,0.823749,0.825346,23.7666
3600,0.828008,0.824281,0.824813,23.7666
3660,0.828008,0.824813,0.828008,23.7666
3720,0.828541,0.825346,0.827476,23.7666
3780,0.829073,0.825878,0.828541,23.7666
3840,0.829606,0.826411,0.828541,23.7666
3900,0.830138,0.826943,0.829073,23.7666
3960,0.830671,0.827476,0.829073,23.7056
4020,0.830671,0.828008,0.830671,23.7056
4080,0.831203,0.828541,0.831203,23.7056
4140,0.831736,0.829073,0.832268,23.6446
4200,0.832268,0.829606,0.832801,23.6446
4260,0.832801,0.830138,0.833333,23.6446
4320,0.833333,0.830671,0.832268,23.5836
4380,0.833866,0.830671,0.834398,23.5836
4440,0.834398,0.831203,0.834931,23.5836
4500,0.834931,0.831736,0.834931,23.5225
4560,0.835463,0.831736,0.835996,23.5225
4620,0.835996,0.832268,0.836528,23.5225
4680,0.835996,0.832801,0.851970,23.4615
4740,0.838126,0.833333,0.852503,23.4615
4800,0.839190,0.833866,0.853035,23.4615
4860,0.840255,0.833866,0.853035,23.4615
4920,0.840788,0.834398,0.853567,23.4615
4980,0.841320,0.834931,0.854100,23.4615
5040,0.841853,0.835463,0.854632,23.4615
5100,0.842385,0.835463,0.855165,23.4615
5160,0.842918,0.835996,0.855697,23.4615
5220,0.843983,0.835996,0.856230,23.4615
5280,0.844515,0.836528,0.856762,23.4615
5340,0.845048,0.837061,0.857295,23.4615
5400,0.845580,0.837061,0.857827,23.4615
5460,0.846113,0.837593,0.858360,23.4615
5520,0.846645,0.837593,0.858360,23.4615
5580,0.846645,0.838126,0.858892,23.4005
5640,0.847710,0.838126,0.859425,23.4005
5700,0.848243,0.838658,0.859957,23.4005
5760,0.848775,0.838658,0.860490,23.4005
5820,0.849308,0.839190,0.860490,23.4005
5880,0.849840,0.839190,0.861022,23.4005
5940,0.850373,0.839190,0.861022,23.4005
6000,0.850373,0.839723,0.861555,23.4005
6060,0.850905,0.840255,0.861555,23.4005
6120,0.851438,0.840255,0.861555,23.4005
6180,0.851970,0.840255,0.862087,23.3395
6240,0.852503,0.840255,0.862087,23.3395
6300,0.853035,0.840255,0.862620,23.3395
6360,0.853567,0.840788,0.863152,23.3395
6420,0.854100,0.841320,0.863152,23.2785
6480,0.854632,0.841853,0.863685,23.2785
6540,0.855165,0.841853,0.863685,23.2785
6600,0.855697,0.841853,0.864217,23.2174
6660,0.856230,0.842385,0.864217,23.2174
6720,0.856762,0.842918,0.864217,23.2174
6780,0.857295,0.842918,0.864217,23.2174
6840,0.857827,0.842385,0.864750,23.2174
6900,0.858360,0.841853,0.865282,23.2174
6960,0.858360,0.842385,0.865282,23.2174
7020,0.858892,0.842385,0.865282,23.1564
7080,0.858892,0.842385,0.865282,23.1564
7140,0.859425,0.842918,0.865282,23.1564
7200,0.859957,0.843450,0.865815,23.1564
7260,0.859957,0.843450,0.865815,23.1564
