***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Start: 06-DEC-2022  04:56PM,,,,,
Time(s),V1,V2,V3,°C,Vavg
0,-0.009052,0.560703,0.55804,,0.369897
60,0.676784,0.661342,0.746539,23.8891,0.694888333
120,0.740149,0.728967,0.775293,23.728,0.748136333
180,0.762513,0.759318,0.78754,23.4863,0.769790333
240,0.769435,0.7705,0.796059,23.3252,0.778664667
300,0.771033,0.775293,0.801917,23.2446,0.782747667
360,0.771033,0.77902,0.805644,23.164,0.785232333
420,0.7705,0.78115,0.808307,23.0835,0.786652333
480,0.771033,0.782215,0.809372,23.0029,0.78754
540,0.771565,0.78328,0.810436,22.9223,0.788427
600,0.771565,0.783812,0.810436,22.8418,0.788604333
660,0.772098,0.784345,0.810969,22.7612,0.789137333
720,0.77263,0.78541,0.810969,22.6806,0.789669667
780,0.77263,0.78541,0.810969,22.6001,0.789669667
840,0.77263,0.785942,0.810969,22.5195,0.789847
900,0.77263,0.786475,0.810436,22.5195,0.789847
960,0.77263,0.787007,0.810436,22.4389,0.790024333
1020,0.77263,0.78754,0.810436,22.3584,0.790202
1080,0.773163,0.788072,0.809904,22.3584,0.790379667
1140,0.773695,0.789137,0.809904,22.3584,0.790912
1200,0.774228,0.790202,0.809904,22.2778,0.791444667
1260,0.77476,0.790735,0.809372,22.2778,0.791622333
1320,0.77476,0.7918,0.809372,22.1972,0.791977333
1380,0.775293,0.792332,0.809372,22.1972,0.792332333
1440,0.775825,0.79393,0.809372,22.1972,0.793042333
1500,0.77689,0.794995,0.808839,22.1167,0.793574667
1560,0.777955,0.795527,0.808839,22.1167,0.794107
1620,0.778488,0.796592,0.808839,22.0361,0.794639667
1680,0.779553,0.797124,0.808839,22.0361,0.795172
1740,0.780618,0.798189,0.808307,21.9555,0.795704667
1800,0.780618,0.798722,0.808307,21.9555,0.795882333
1860,0.78115,0.799254,0.808307,21.9555,0.796237
1920,0.782747,0.799787,0.808307,21.9555,0.796947
1980,0.782747,0.799254,0.808307,21.875,0.796769333
2040,0.78328,0.799254,0.807774,21.875,0.796769333
2100,0.78328,0.799254,0.807774,21.875,0.796769333
2160,0.78328,0.798722,0.807774,21.875,0.796592
2220,0.78328,0.798722,0.807774,21.875,0.796592
2280,0.78328,0.798189,0.807774,21.7944,0.796414333
2340,0.78328,0.798189,0.807242,21.7944,0.796237
2400,0.78328,0.797657,0.807242,21.7944,0.796059667
