***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Start: 12-DEC-2022  12:14PM,,,,,
Time(s),V1,V2,V3,⁰C,Vavg
0,0.746006,0.638977,0.603301,,0.662761333
60,0.769968,0.78328,0.773163,,0.775470333
120,0.784877,0.793397,0.788072,,0.788782
180,0.793397,0.800852,0.796059,,0.796769333
240,0.798722,0.805644,0.802982,,0.802449333
300,0.801384,0.809372,0.808307,,0.806354333
360,0.804047,0.812034,0.811501,,0.809194
420,0.805644,0.813631,0.814696,,0.811323667
480,0.806709,0.814696,0.816294,,0.812566333
540,0.807242,0.815761,0.817891,,0.813631333
600,0.808307,0.816294,0.818956,,0.814519
660,0.808839,0.817359,0.819489,,0.815229
720,0.808839,0.816826,0.819489,,0.815051333
780,0.808839,0.817359,0.820021,,0.815406333
840,0.809372,0.816826,0.819489,,0.815229
900,0.809372,0.816826,0.819489,,0.815229
960,0.809372,0.816826,0.819489,,0.815229
1020,0.809372,0.816826,0.818956,,0.815051333
1080,0.809904,0.816294,0.818956,,0.815051333
1140,0.809904,0.816294,0.818956,,0.815051333
1200,0.810436,0.816294,0.818424,,0.815051333
1260,0.810969,0.815761,0.817891,,0.814873667
1320,0.810969,0.815761,0.817891,,0.814873667
1380,0.811501,0.815229,0.817891,,0.814873667
1440,0.812034,0.815229,0.818424,,0.815229
1500,0.812566,0.814696,0.818956,,0.815406
1560,0.813631,0.814696,0.819489,,0.815938667
1620,0.814164,0.814164,0.820021,,0.816116333
1680,0.815229,0.814164,0.820554,,0.816649
1740,0.815761,0.814164,0.821086,,0.817003667
1800,0.816294,0.814164,0.821619,,0.817359
1860,0.817891,0.813631,0.822151,,0.817891
1920,0.818424,0.813631,0.822684,,0.818246333
1980,0.819489,0.813631,0.823749,,0.818956333
2040,0.820021,0.813631,0.824281,,0.819311
2100,0.821086,0.813099,0.824281,,0.819488667
2160,0.821619,0.813099,0.824813,,0.819843667
2220,0.822151,0.813099,0.824813,,0.820021
2280,0.822684,0.813099,0.825346,,0.820376333
2340,0.823216,0.813099,0.825346,,0.820553667
2400,0.823749,0.813099,0.825878,,0.820908667
2460,0.824281,0.813099,0.825878,,0.821086
2520,0.824813,0.813099,0.826411,,0.821441
2580,0.825346,0.813099,0.826411,,0.821618667
2640,0.825878,0.813099,0.826411,,0.821796
2700,0.826411,0.813099,0.826943,,0.822151
2760,0.826943,0.812566,0.826943,,0.822150667
2820,0.826943,0.812566,0.827476,,0.822328333
2880,0.827476,0.812566,0.827476,,0.822506
2940,0.828008,0.812566,0.828008,,0.822860667
3000,0.828541,0.812566,0.828008,,0.823038333
3060,0.828541,0.812566,0.828541,,0.823216
3120,0.829073,0.812566,0.828541,,0.823393333
3180,0.829606,0.813099,0.829073,,0.823926
3240,0.830138,0.813099,0.829606,,0.824281
3300,0.830671,0.813099,0.830138,,0.824636
3360,0.831203,0.813099,0.830138,,0.824813333
3420,0.831203,0.813099,0.830671,,0.824991
3480,0.831736,0.812566,0.830671,,0.824991
3540,0.831736,0.813099,0.831203,,0.825346
3600,0.832268,0.812566,0.831736,,0.825523333
3660,0.832801,0.813099,0.832268,,0.826056
3720,0.832801,0.813099,0.832268,,0.826056
3780,0.833333,0.812566,0.832801,,0.826233333
3840,0.833333,0.813099,0.833333,,0.826588333
3900,0.833866,0.813099,0.833866,,0.826943667
3960,0.834398,0.813099,0.834398,,0.827298333
4020,0.834398,0.813099,0.834931,,0.827476
4080,0.834931,0.813631,0.834931,,0.827831
4140,0.835463,0.813631,0.835463,,0.828185667
4200,0.835463,0.813631,0.835996,,0.828363333
4260,0.835996,0.814164,0.836528,,0.828896
4320,0.836528,0.814164,0.837061,,0.829251
4380,0.837061,0.814696,0.837593,,0.829783333
4440,0.837061,0.815229,0.838658,,0.830316
4500,0.837593,0.815229,0.838658,,0.830493333
4560,0.838126,0.815761,0.83919,,0.831025667
4620,0.838658,0.815761,0.839723,,0.831380667
4680,0.838658,0.816294,0.840255,,0.831735667
4740,0.83919,0.816826,0.840788,,0.832268
4800,0.83919,0.817359,0.84132,,0.832623
4860,0.839723,0.818424,0.84132,,0.833155667
4920,0.840255,0.818956,0.841853,,0.833688
4980,0.840788,0.819489,0.841853,,0.834043333
5040,0.84132,0.819489,0.842918,,0.834575667
5100,0.84132,0.820021,0.84345,,0.834930333
5160,0.841853,0.820554,0.84345,,0.835285667
5220,0.842385,0.820554,0.843983,,0.835640667
5280,0.842385,0.821086,0.844515,,0.835995333
5340,0.842385,0.821086,0.844515,,0.835995333
5400,0.842385,0.821619,0.845048,,0.836350667
5460,0.842918,0.821619,0.845048,,0.836528333
5520,0.842385,0.821619,0.84558,,0.836528
5580,0.842385,0.822151,0.84558,,0.836705333
5640,0.842385,0.822151,0.846113,,0.836883
5700,0.842385,0.822151,0.846113,,0.836883
5760,0.842385,0.822151,0.846645,,0.837060333
5820,0.842385,0.822151,0.846645,,0.837060333
5880,0.842385,0.821619,0.846645,,0.836883
5940,0.842385,0.821619,0.847178,,0.837060667
6000,0.842385,0.821086,0.847178,,0.836883
6060,0.842385,0.821086,0.847178,,0.836883
6120,0.842385,0.820554,0.847178,,0.836705667
6180,0.842385,0.820021,0.84771,,0.836705333
6240,0.842385,0.820021,0.847178,,0.836528
6300,0.842385,0.819489,0.847178,,0.836350667
6360,0.842385,0.819489,0.847178,,0.836350667
6420,0.842385,0.818956,0.84771,,0.836350333
6480,0.842385,0.818424,0.84771,,0.836173
6540,0.842385,0.817891,0.84771,,0.835995333
6600,0.842385,0.817891,0.84771,,0.835995333
6660,0.842385,0.816826,0.84771,,0.835640333
6720,0.842385,0.816294,0.84771,,0.835463
6780,0.841853,0.815761,0.84771,,0.835108
6840,0.841853,0.815761,0.84771,,0.835108
6900,0.841853,0.814696,0.847178,,0.834575667
6960,0.84132,0.814164,0.847178,,0.834220667
7020,0.84132,0.813631,0.847178,,0.834043
7080,0.840788,0.813099,0.847178,,0.833688333
7140,0.840255,0.812566,0.846645,,0.833155333
7200,0.839723,0.812034,0.846113,,0.832623333
7260,0.839723,0.811501,0.846113,,0.832445667
7320,0.83919,0.811501,0.846113,,0.832268
7380,0.83919,0.810969,0.846113,,0.832090667
7440,0.838658,0.810436,0.84558,,0.831558
7500,0.838126,0.810436,0.84558,,0.831380667
7560,0.837593,0.809904,0.845048,,0.830848333
7620,0.837061,0.809372,0.844515,,0.830316
7680,0.836528,0.809372,0.844515,,0.830138333
7740,0.836528,0.808839,0.843983,,0.829783333
7800,0.835996,0.808839,0.843983,,0.829606
7860,0.835463,0.808839,0.84345,,0.829250667
7920,0.834931,0.808307,0.84345,,0.828896
7980,0.834398,0.808307,0.842918,,0.828541
8040,0.834398,0.808307,0.842918,,0.828541
8100,0.833866,0.808307,0.842385,,0.828186
8160,0.833333,0.808307,0.841853,,0.827831
8220,0.832801,0.807774,0.841853,,0.827476
8280,0.832801,0.808307,0.84132,,0.827476
8340,0.832268,0.808307,0.84132,,0.827298333
8400,0.832268,0.808307,0.84132,,0.827298333
8460,0.831736,0.807774,0.840788,,0.826766
8520,0.831736,0.808307,0.840788,,0.826943667
8580,0.831203,0.808307,0.840255,,0.826588333
8640,0.831203,0.807774,0.840255,,0.826410667
