***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 13-DEC-2022  05:24PM
Time(s),V,V,V,°C
0,0.139510,0.021299,0.538338,149.8964
60,0.124068,0.797657,0.779020,24.4989
120,0.111288,0.812566,0.800852,24.4989
180,0.102769,0.821086,0.812034,24.3768
240,0.096911,0.827476,0.818956,24.2548
300,0.092119,0.831736,0.824281,24.1327
360,0.087859,0.834931,0.828008,24.0107
420,0.084664,0.837061,0.830138,23.8887
480,0.081469,0.838658,0.831736,23.8276
540,0.079340,0.840255,0.833333,23.7056
600,0.076677,0.841320,0.834398,23.6446
660,0.074547,0.841853,0.834931,23.5836
720,0.072950,0.842385,0.835463,23.5225
780,0.071352,0.842385,0.835996,23.5225
840,0.069755,0.842918,0.835996,23.4615
900,0.068157,0.842918,0.835996,23.4005
960,0.067092,0.842918,0.835996,23.4005
1020,0.066027,0.842918,0.835996,23.2785
1080,0.064430,0.843450,0.835996,23.2174
1140,0.063365,0.843450,0.835996,23.1564
1200,0.062833,0.843450,0.835996,23.0954
1260,0.061768,0.843450,0.836528,23.0954
1320,0.061235,0.843450,0.836528,23.0344
1380,0.060170,0.843983,0.836528,22.9734
1440,0.059638,0.843983,0.837061,22.9734
1500,0.059105,0.843983,0.837061,22.9123
1560,0.058040,0.843983,0.837593,22.9123
1620,0.057508,0.843983,0.837593,22.8513
1680,0.056975,0.843983,0.837593,22.8513
1740,0.056975,0.843983,0.838126,22.8513
1800,0.055910,0.844515,0.838126,22.7903
1860,0.055378,0.843450,0.838126,22.7903
1920,0.055378,0.843450,0.838126,22.7903
1980,0.054845,0.843983,0.838126,22.7903
2040,0.054313,0.843983,0.838658,22.7903
2100,0.053780,0.843450,0.838658,22.7903
2160,0.053780,0.843450,0.838658,22.7293
2220,0.053248,0.843450,0.839190,22.7293
2280,0.052715,0.843450,0.839190,22.7293
2340,0.052183,0.843450,0.839723,22.7293
2400,0.052183,0.843450,0.839723,22.7293
2460,0.051650,0.843450,0.839723,22.7293
2520,0.051118,0.843450,0.840255,22.7293
2580,0.051118,0.843450,0.840255,22.6682
2640,0.050586,0.843450,0.840255,22.6682
2700,0.050586,0.843983,0.840255,22.6682
2760,0.050053,0.843983,0.840788,22.6682
2820,0.050053,0.843983,0.840788,22.6682
2880,0.049521,0.843983,0.840788,22.6682
2940,0.049521,0.844515,0.841320,22.6682
3000,0.048988,0.844515,0.841853,22.6682
3060,0.048988,0.845048,0.841853,22.6682
3120,0.048456,0.845048,0.841853,22.6682
3180,0.048456,0.845048,0.842385,22.6072
3240,0.048456,0.845048,0.842385,22.6072
3300,0.047923,0.845048,0.842385,22.6072
3360,0.047923,0.845580,0.842918,22.6072
3420,0.047391,0.845580,0.842918,22.6072
3480,0.047391,0.845580,0.842918,22.6072
3540,0.046858,0.845580,0.843450,22.6072
3600,0.046858,0.845580,0.843450,22.6072
3660,0.046858,0.846113,0.843450,22.6072
3720,0.046326,0.845580,0.843983,22.6072
3780,0.046326,0.846113,0.844515,22.6072
3840,0.045793,0.846113,0.844515,22.6072
3900,0.045793,0.846113,0.845048,22.6072
3960,0.045261,0.846113,0.845048,22.6072
4020,0.045261,0.846113,0.845580,22.6072
4080,0.044728,0.845580,0.845580,22.6072
4140,0.044728,0.846113,0.845580,22.6072
4200,0.044196,0.846113,0.846113,22.6072
4260,0.044196,0.846113,0.846113,22.6072
