***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Start: 05-DEC-2022  12:37PM,,,,,
Time(s),V1,V2,V3,°C,Vavg
0,0.297124,0.569222,0.575612,,0.480652667
60,0.597444,0.745474,0.7705,24.3725,0.704472667
120,0.664004,0.775825,0.787007,24.2114,0.742278667
180,0.705005,0.788072,0.796592,23.9697,0.763223
240,0.729499,0.792865,0.802982,23.8086,0.775115333
300,0.740681,0.797124,0.807774,23.728,0.781859667
360,0.748136,0.798722,0.809904,23.5669,0.785587333
420,0.753461,0.799787,0.811501,23.4863,0.788249667
480,0.756656,0.800319,0.812566,23.4057,0.789847
540,0.758786,0.800852,0.813099,23.3252,0.790912333
600,0.759851,0.801384,0.812566,23.164,0.791267
660,0.760916,0.800852,0.812034,23.0835,0.791267333
720,0.760916,0.800852,0.811501,23.0029,0.791089667
780,0.759318,0.800852,0.811501,22.9223,0.790557
840,0.758786,0.800852,0.810436,22.8418,0.790024667
900,0.759318,0.800319,0.809904,22.7612,0.789847
960,0.759851,0.800319,0.809372,22.7612,0.789847333
1020,0.760916,0.799787,0.808839,22.7612,0.789847333
1080,0.762513,0.799787,0.808839,22.6806,0.790379667
1140,0.763046,0.799254,0.807774,22.6001,0.790024667
1200,0.764111,0.798722,0.807242,22.5195,0.790025
1260,0.764111,0.798189,0.807242,22.5195,0.789847333
1320,0.764643,0.798189,0.806709,22.4389,0.789847
1380,0.765176,0.797657,0.806177,22.4389,0.78967
1440,0.765708,0.797124,0.806177,22.4389,0.789669667
1500,0.765708,0.797124,0.805644,22.2778,0.789492
1560,0.766241,0.797124,0.805644,22.2778,0.789669667
1620,0.766241,0.796592,0.805112,22.1972,0.789315
1680,0.766773,0.796592,0.805112,22.1167,0.789492333
1740,0.766773,0.796592,0.805112,22.1167,0.789492333
1800,0.767305,0.796592,0.805112,22.0361,0.789669667
1860,0.767305,0.796592,0.805112,22.0361,0.789669667
1920,0.767305,0.796592,0.805112,21.9555,0.789669667
1980,0.767838,0.797124,0.805112,21.9555,0.790024667
2040,0.767305,0.797124,0.805112,21.9555,0.789847
2100,0.766773,0.797124,0.804579,21.875,0.789492
