***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Time(s),V,V,V,°C
0,0.734292,0.612886,0.588924,206.4526
60,0.762513,0.724174,0.771033,23.5669
120,0.774760,0.744409,0.788072,23.5669
180,0.782215,0.756656,0.798722,23.4863
240,0.787540,0.763578,0.805644,23.4057
300,0.790735,0.766773,0.809372,23.3252
360,0.793397,0.768903,0.812566,23.3252
420,0.794462,0.769968,0.814696,23.2446
480,0.795527,0.769968,0.815761,23.2446
540,0.796059,0.770500,0.816826,23.2446
600,0.796592,0.770500,0.817359,23.1640
660,0.796592,0.770500,0.817891,23.1640
720,0.796592,0.771565,0.818424,23.0835
780,0.796592,0.772630,0.818424,23.1640
840,0.797124,0.775293,0.818956,23.1640
900,0.797124,0.777423,0.819489,23.0029
960,0.797657,0.780085,0.819489,23.0835
1020,0.798189,0.782747,0.819489,23.0835
1080,0.798722,0.786475,0.820021,23.0029
1140,0.799254,0.789137,0.820554,23.0029
1200,0.800319,0.791800,0.821086,23.0029
1260,0.800852,0.794462,0.821619,23.2446
1320,0.801917,0.797657,0.822151,23.2446
1380,0.802982,0.799787,0.823216,23.2446
1440,0.804047,0.801384,0.823749,23.1640
1500,0.805112,0.802982,0.824281,23.0835
1560,0.806177,0.804047,0.825346,23.1640
1620,0.807242,0.805112,0.825878,23.1640
1680,0.807774,0.806177,0.826411,23.0835
1740,0.808839,0.807774,0.827476,23.0835
1800,0.809904,0.809372,0.828008,23.1640
1860,0.809904,0.810436,0.828541,23.2446
1920,0.810969,0.811501,0.829606,23.3252
1980,0.810969,0.812566,0.830138,23.2446
2040,0.811501,0.813631,0.830671,23.2446
2100,0.812566,0.814164,0.831203,23.3252
2160,0.812566,0.815229,0.832268,23.1640
2220,0.813099,0.816294,0.833333,23.2446
2280,0.813631,0.816826,0.833866,23.1640
2340,0.813631,0.818424,0.834398,23.2446
2400,0.814164,0.819489,0.835463,23.2446
2460,0.814696,0.820021,0.835996,23.4863
2520,0.815761,0.820554,0.837061,23.4863
2580,0.816294,0.821619,0.837593,23.4057
2640,0.816826,0.822151,0.838658,23.4057
2700,0.817891,0.822684,0.839723,23.4057
2760,0.818424,0.823749,0.840255,23.3252
2820,0.819489,0.824813,0.841320,23.3252
2880,0.820021,0.824813,0.841853,23.2446
2940,0.820554,0.825878,0.842918,23.2446
3000,0.821619,0.826943,0.843450,23.1640
3060,0.822151,0.827476,0.843983,23.1640
3120,0.822684,0.828541,0.845048,23.2446
3180,0.823216,0.829073,0.845048,23.2446
3240,0.824281,0.830138,0.846113,23.1640
3300,0.824813,0.831203,0.847178,23.1640
3360,0.825878,0.831736,0.848243,23.1640
3420,0.826411,0.832801,0.848775,23.1640
3480,0.826943,0.833333,0.849840,23.1640
3540,0.828008,0.834398,0.849840,23.1640
3600,0.828541,0.835463,0.850905,23.1640
3660,0.829606,0.836528,0.851438,23.0835
3720,0.830671,0.837061,0.851438,23.0835
3780,0.831203,0.837593,0.851970,23.1640
3840,0.832268,0.838658,0.853035,23.0835
3900,0.832801,0.839190,0.853567,23.0835
3960,0.833866,0.839190,0.853567,23.0835
4020,0.834398,0.839723,0.853567,23.0029
4080,0.835463,0.839723,0.853567,23.0835
4140,0.835463,0.840255,0.854100,23.0029
4200,0.836528,0.840788,0.854100,23.0835
4260,0.837061,0.841320,0.854632,23.0029
4320,0.837593,0.841853,0.855165,23.0029
4380,0.838126,0.842385,0.855165,23.0029
4440,0.838658,0.842918,0.855165,23.0029
4500,0.837593,0.842918,0.855165,22.9223
4560,0.838126,0.843450,0.855697,22.9223
4620,0.838126,0.843450,0.855697,22.9223
4680,0.838126,0.843450,0.855697,22.8418
4740,0.838126,0.843450,0.855697,22.9223
4800,0.837593,0.843450,0.855165,22.8418
4860,0.837593,0.843983,0.855165,22.8418
4920,0.837593,0.843983,0.855165,22.9223
4980,0.837061,0.843450,0.854632,22.8418
5040,0.836528,0.843450,0.854100,22.8418
5100,0.836528,0.843450,0.854632,22.8418
5160,0.835996,0.843450,0.854100,22.7612
