***SENSOR SELECTION
CH 1-Voltage(�1V)
CH 2-Voltage(�1V)
INTERNAL
*** Sampling Rate 
1 Sample/s
*** Duration to Monitor  
5 Hours
Time(s),V1,V2,�C
1.000000,0.379127,0.279020,26.0644
2.000000,0.379127,0.303514,26.0644
3.000000,0.379127,0.303514,26.0644
4.000000,0.379127,0.304579,26.0644
5.000000,0.379127,0.300319,26.0644
6.000000,0.379127,0.304579,26.0644
7.000000,0.379127,0.297657,26.0644
8.000000,0.379127,0.298722,26.0644
9.000000,0.379127,0.298722,26.0644
10.000000,0.378594,0.296592,26.0644
11.000000,0.378594,0.292332,26.0644
12.000000,0.378594,0.300852,26.0644
13.000000,0.378062,0.311501,26.0644
14.000000,0.378062,0.323749,26.0644
15.000000,0.378062,0.315761,26.0644
16.000000,0.378062,0.307242,26.0644
17.000000,0.378062,0.324281,26.0644
18.000000,0.377529,0.295527,26.0644
19.000000,0.377529,0.300852,26.0644
20.000000,0.377529,0.292332,26.0644
21.000000,0.377529,0.289670,26.0644
22.000000,0.377529,0.281150,26.0644
23.000000,0.376997,0.284345,26.0644
24.000000,0.376997,0.285410,26.1450
25.000000,0.376997,0.282747,26.1450
26.000000,0.376997,0.284877,26.1450
27.000000,0.376464,0.274760,26.1450
28.000000,0.376464,0.288605,26.1450
29.000000,0.376464,0.330671,26.1450
30.000000,0.376464,0.330671,26.1450
31.000000,0.376464,0.311501,26.1450
32.000000,0.375932,0.315229,26.1450
33.000000,0.375932,0.315229,26.1450
34.000000,0.375932,0.330671,26.1450
35.000000,0.375932,0.283280,26.1450
36.000000,0.375932,0.284345,26.1450
37.000000,0.375399,0.292332,26.1450
38.000000,0.375399,0.243876,26.1450
39.000000,0.375399,0.256656,26.1450
40.000000,0.375399,0.274228,26.1450
41.000000,0.375399,0.274228,26.1450
42.000000,0.375399,0.280618,26.2256
43.000000,0.374867,0.269968,26.2256
44.000000,0.374867,0.294995,26.2256
45.000000,0.374867,0.290202,26.2256
46.000000,0.374334,0.293397,26.2256
47.000000,0.374334,0.322151,26.2256
48.000000,0.374334,0.310969,26.2256
49.000000,0.374334,0.302449,26.2256
50.000000,0.373802,0.300852,26.2256
51.000000,0.373802,0.298189,26.2256
52.000000,0.373802,0.291800,26.2256
53.000000,0.373802,0.296059,26.2256
54.000000,0.373802,0.296592,26.2256
