***SENSOR SELECTION
CH 1-Voltage(�1V)
CH 2-Voltage(�1V)
CH 3-Voltage(�1V)
INTERNAL
*** Sampling Rate 
1 Data Per 10 Secs
*** Duration to Monitor  
1 Day
Time(s),V1,V2,V3,�C
0,0.297124,0.727902,0.766241,224.9829
10,0.291800,0.481895,0.673589,26.5478
20,0.350905,0.517039,0.691161,26.5478
30,0.524494,0.551118,0.701810,26.5478
40,0.575080,0.588392,0.709797,26.5478
50,0.599041,0.609691,0.716720,26.5478
60,0.618743,0.625665,0.722577,26.5478
70,0.634718,0.638445,0.727369,26.4673
80,0.648562,0.649627,0.732162,26.5478
90,0.658147,0.660277,0.735889,26.5478
100,0.666666,0.669861,0.740149,26.4673
110,0.684238,0.678914,0.743344,26.4673
120,0.695953,0.688498,0.746539,26.4673
130,0.702875,0.695953,0.749734,26.4673
140,0.708733,0.702343,0.752396,26.4673
150,0.712460,0.707668,0.754526,26.3867
160,0.716187,0.712992,0.756656,26.4673
170,0.719382,0.717252,0.758253,26.3867
180,0.721512,0.721512,0.759851,26.3867
190,0.723642,0.724707,0.761448,26.3867
200,0.725772,0.727902,0.763046,26.3867
210,0.727369,0.730564,0.764111,26.3061
220,0.728967,0.732694,0.765176,26.3867
230,0.730032,0.734824,0.766241,26.3867
240,0.731097,0.736954,0.767305,26.3061
250,0.732162,0.738551,0.768370,26.3061
260,0.733227,0.740149,0.769435,26.2256
270,0.734292,0.741746,0.770500,26.3061
280,0.734824,0.743344,0.771033,26.3061
290,0.735889,0.744941,0.772098,26.2256
300,0.736954,0.745474,0.772630,26.3061
310,0.737487,0.746539,0.773695,26.2256
320,0.738551,0.747604,0.774228,26.2256
330,0.739084,0.749201,0.774760,26.2256
340,0.739616,0.750266,0.775293,26.2256
350,0.740149,0.751331,0.776358,26.1450
360,0.740681,0.752396,0.776890,26.2256
370,0.741214,0.753461,0.777423,26.1450
380,0.741746,0.753993,0.777955,26.1450
390,0.742279,0.754526,0.778488,26.1450
400,0.742811,0.755058,0.779020,26.1450
410,0.743344,0.756123,0.779553,26.1450
420,0.743344,0.756656,0.780085,26.1450
430,0.743876,0.757188,0.780618,26.1450
440,0.744409,0.757721,0.781150,26.0644
450,0.744941,0.757721,0.781150,26.0644
460,0.744941,0.758253,0.781682,26.0644
470,0.745474,0.758786,0.782215,26.0644
480,0.745474,0.759318,0.782747,26.0644
490,0.746006,0.759851,0.783280,26.0644
500,0.746006,0.759851,0.783280,25.9839
510,0.746539,0.760916,0.783812,26.0644
520,0.746539,0.760916,0.784345,25.9839
530,0.747071,0.761448,0.784345,25.9839
540,0.747604,0.761981,0.784877,25.9839
550,0.747604,0.761981,0.785410,25.9839
560,0.747604,0.762513,0.785410,25.9839
570,0.748136,0.762513,0.785942,25.9839
580,0.748136,0.763046,0.785942,25.9033
590,0.748136,0.763046,0.786475,25.9839
600,0.748669,0.763578,0.786475,25.9033
610,0.748669,0.763578,0.787007,25.9033
620,0.749201,0.764111,0.787007,25.9033
630,0.749201,0.764111,0.787540,25.9033
640,0.749734,0.764643,0.787540,25.8227
650,0.750266,0.764643,0.787540,25.9033
660,0.750266,0.765176,0.787540,25.9033
670,0.750799,0.765176,0.788072,25.9033
680,0.750799,0.765176,0.788072,25.8227
690,0.750799,0.765708,0.788072,25.9033
700,0.750799,0.765708,0.788072,25.8227
710,0.751331,0.766241,0.787540,25.8227
720,0.751331,0.766241,0.787540,25.7422
730,0.751864,0.766241,0.787540,25.8227
740,0.751331,0.766773,0.788072,25.8227
750,0.751864,0.766773,0.788605,25.7422
760,0.751864,0.766773,0.789137,25.7422
770,0.751864,0.766773,0.790202,25.7422
780,0.751864,0.766773,0.790202,25.7422
790,0.751864,0.767305,0.790735,25.7422
800,0.752396,0.767305,0.791267,25.7422
810,0.752396,0.767305,0.791267,25.7422
820,0.752396,0.767838,0.791800,25.7422
830,0.752396,0.767838,0.791800,25.7422
840,0.752928,0.767838,0.792332,25.7422
850,0.752928,0.768370,0.792332,25.7422
860,0.753461,0.768370,0.792865,25.6616
870,0.753461,0.768370,0.792865,25.7422
880,0.753993,0.768370,0.793397,25.7422
890,0.753993,0.768903,0.793930,25.6616
900,0.755591,0.768903,0.793930,25.6616
910,0.756656,0.768903,0.793930,25.6616
920,0.757188,0.768903,0.794462,25.6616
930,0.757721,0.768903,0.794462,25.6616
940,0.758253,0.768903,0.794462,25.6616
950,0.758786,0.768370,0.794995,25.6616
960,0.759318,0.768370,0.794995,25.6616
970,0.759851,0.768370,0.795527,25.6616
980,0.760383,0.768370,0.795527,25.5810
990,0.760383,0.768370,0.796059,25.6616
1000,0.761448,0.768370,0.796059,25.6616
1010,0.761448,0.767838,0.796059,25.5810
1020,0.761981,0.768370,0.796059,25.5810
1030,0.761448,0.768370,0.796059,25.6616
1040,0.762513,0.768370,0.796592,25.5810
1050,0.762513,0.768903,0.797124,25.5810
1060,0.763046,0.768903,0.797124,25.5810
1070,0.763046,0.769435,0.797657,25.5810
1080,0.763578,0.769435,0.797657,25.5810
1090,0.764111,0.769968,0.798189,25.5810
1100,0.764111,0.769968,0.798189,25.5810
1110,0.764643,0.769968,0.798722,25.5810
1120,0.764643,0.770500,0.798722,25.5810
1130,0.765176,0.770500,0.798722,25.5810
1140,0.765176,0.770500,0.799254,25.5810
1150,0.765708,0.770500,0.799254,25.5810
1160,0.765708,0.770500,0.799254,25.5810
1170,0.766241,0.771033,0.799254,25.5810
1180,0.766241,0.771033,0.799787,25.5810
1190,0.766773,0.771033,0.799787,25.5810
1200,0.766773,0.771033,0.799787,25.5810
1210,0.766773,0.771565,0.800319,25.5005
1220,0.767305,0.771565,0.800319,25.5005
1230,0.767305,0.771565,0.800319,25.5810
1240,0.767838,0.772098,0.800319,25.5005
1250,0.768370,0.772098,0.800852,25.5810
1260,0.768903,0.772630,0.800852,25.5005
1270,0.768903,0.772630,0.800852,25.5005
1280,0.768903,0.772630,0.800852,25.5005
1290,0.769435,0.772630,0.801384,25.5005
1300,0.769435,0.773163,0.801384,25.5005
1310,0.769968,0.773163,0.801917,25.5005
1320,0.770500,0.773163,0.801384,25.5005
1330,0.770500,0.773163,0.801917,25.5005
1340,0.770500,0.773695,0.801917,25.5005
1350,0.771033,0.773695,0.802449,25.5005
1360,0.771033,0.773695,0.802449,25.5005
1370,0.771033,0.774228,0.802449,25.5005
1380,0.771565,0.774228,0.802449,25.5005
1390,0.771565,0.774228,0.802982,25.5005
1400,0.772098,0.774760,0.802982,25.5005
1410,0.772098,0.774760,0.802982,25.4199
1420,0.772630,0.775293,0.803514,25.5005
1430,0.772630,0.775293,0.803514,25.5005
1440,0.773163,0.775293,0.803514,25.5005
1450,0.773163,0.775293,0.804047,25.5005
1460,0.773695,0.775293,0.804047,25.5005
1470,0.773695,0.775825,0.804579,25.5005
1480,0.774228,0.775825,0.804579,25.5005
1490,0.774228,0.775825,0.804579,25.5005
1500,0.774760,0.775825,0.804579,25.5005
1510,0.774760,0.776358,0.804579,25.5005
1520,0.775293,0.776358,0.804579,25.4199
1530,0.775293,0.776358,0.804579,25.5005
1540,0.775293,0.776890,0.805112,25.5005
1550,0.775293,0.776890,0.805112,25.4199
1560,0.775825,0.776890,0.805112,25.4199
1570,0.775825,0.776890,0.805644,25.4199
1580,0.776358,0.777423,0.805644,25.4199
1590,0.776358,0.777423,0.805644,25.4199
1600,0.776358,0.777423,0.805644,25.4199
1610,0.776890,0.777423,0.805644,25.4199
1620,0.776890,0.777955,0.806177,25.4199
1630,0.776890,0.777955,0.806177,25.5005
1640,0.777423,0.777955,0.806177,25.4199
1650,0.777423,0.778488,0.806709,25.4199
1660,0.777955,0.778488,0.806709,25.4199
1670,0.777955,0.778488,0.806709,25.4199
1680,0.778488,0.779020,0.807242,25.4199
1690,0.778488,0.779020,0.807242,25.5005
1700,0.779020,0.779020,0.807242,25.4199
1710,0.779020,0.779553,0.807242,25.4199
1720,0.779553,0.779553,0.807774,25.4199
1730,0.779553,0.779553,0.807774,25.4199
1740,0.779553,0.779553,0.807774,25.4199
1750,0.780085,0.779553,0.807774,25.4199
1760,0.780085,0.780085,0.808307,25.4199
1770,0.780085,0.780085,0.808307,25.4199
1780,0.780618,0.780085,0.808307,25.4199
1790,0.781150,0.780618,0.808839,25.4199
1800,0.781150,0.780618,0.808839,25.4199
1810,0.781150,0.780618,0.808839,25.4199
1820,0.781682,0.780618,0.808839,25.4199
1830,0.781682,0.780618,0.809372,25.4199
1840,0.782215,0.781150,0.809372,25.4199
1850,0.782215,0.781150,0.809372,25.4199
1860,0.782747,0.781150,0.809372,25.4199
1870,0.782747,0.781682,0.809904,25.4199
1880,0.783280,0.781682,0.809904,25.4199
1890,0.783280,0.781682,0.809904,25.4199
1900,0.783812,0.781682,0.810436,25.4199
1910,0.783812,0.782215,0.810436,25.4199
1920,0.784345,0.782215,0.810436,25.4199
1930,0.784345,0.782215,0.810969,25.3393
1940,0.784877,0.782215,0.810969,25.4199
1950,0.784877,0.782215,0.810969,25.4199
1960,0.785410,0.782747,0.810969,25.4199
1970,0.785410,0.782747,0.811501,25.4199
1980,0.785942,0.782747,0.811501,25.3393
1990,0.785942,0.783280,0.811501,25.3393
2000,0.786475,0.783280,0.811501,25.3393
2010,0.786475,0.783280,0.812034,25.3393
2020,0.787007,0.783280,0.812034,25.3393
2030,0.787007,0.783812,0.812034,25.3393
2040,0.787540,0.783812,0.812566,25.3393
2050,0.787540,0.783812,0.812566,25.3393
2060,0.787540,0.783812,0.812566,25.4199
2070,0.788072,0.784345,0.813099,25.3393
2080,0.788072,0.784345,0.813099,25.3393
2090,0.788605,0.784345,0.813099,25.3393
2100,0.788605,0.784345,0.813631,25.4199
2110,0.788605,0.784345,0.813631,25.3393
2120,0.789137,0.784877,0.813631,25.3393
2130,0.789137,0.784877,0.813631,25.3393
2140,0.789670,0.784877,0.814164,25.3393
2150,0.789670,0.785410,0.814164,25.4199
2160,0.790202,0.785410,0.814164,25.3393
2170,0.790202,0.785410,0.814164,25.3393
2180,0.790735,0.785410,0.814164,25.3393
2190,0.790735,0.785942,0.814696,25.3393
2200,0.790735,0.785942,0.814696,25.3393
2210,0.791267,0.785942,0.814696,25.3393
2220,0.791267,0.785942,0.815229,25.3393
2230,0.791800,0.785942,0.815229,25.3393
2240,0.791800,0.786475,0.815229,25.3393
2250,0.791800,0.786475,0.815229,25.3393
2260,0.792332,0.786475,0.815229,25.3393
2270,0.792332,0.787007,0.815761,25.3393
2280,0.792865,0.787007,0.815761,25.3393
