***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Start: 08-NOV-2022  01:38PM,,,,,
Time(s),V1,V2,V3,°C,Vavg
0,0.601704,0.63099,0.614483,,0.615725667
60,0.686901,0.71459,0.735889,24.926,0.71246
120,0.778488,0.791267,0.789137,24.804,0.786297333
180,0.795527,0.810436,0.805112,24.743,0.803691667
240,0.809904,0.820554,0.816826,24.804,0.815761333
300,0.820021,0.827476,0.825878,24.6819,0.824458333
360,0.825346,0.831736,0.830671,24.4989,0.829251
420,0.828008,0.835463,0.833866,24.3768,0.832445667
480,0.830138,0.837593,0.835996,24.3158,0.834575667
540,0.831203,0.83919,0.837061,24.1938,0.835818
600,0.831203,0.840255,0.837593,24.1327,0.836350333
660,0.831203,0.840788,0.838126,24.0107,0.836705667
720,0.830138,0.84132,0.837593,24.0107,0.836350333
780,0.829606,0.84132,0.837593,23.9497,0.836173
840,0.829606,0.841853,0.837593,23.8887,0.836350667
900,0.829073,0.841853,0.837593,23.8276,0.836173
960,0.828541,0.841853,0.837593,23.7666,0.835995667
1020,0.828541,0.842385,0.837593,23.7056,0.836173
1080,0.828008,0.842385,0.837593,23.6446,0.835995333
1140,0.828008,0.842385,0.838126,23.5836,0.836173
1200,0.828541,0.842918,0.838126,23.5225,0.836528333
1260,0.829073,0.842918,0.838658,23.4615,0.836883
1320,0.829606,0.84345,0.838658,23.4615,0.837238
1380,0.830671,0.84345,0.83919,23.4005,0.837770333
1440,0.831736,0.84345,0.839723,23.3395,0.838303
1500,0.832801,0.843983,0.840255,23.2785,0.839013
1560,0.833866,0.844515,0.84132,23.2785,0.839900333
1620,0.834931,0.845048,0.841853,23.2785,0.840610667
1680,0.836528,0.845048,0.842385,23.2174,0.841320333
1740,0.837593,0.84558,0.842918,23.2174,0.842030333
1800,0.838658,0.846113,0.84345,23.1564,0.842740333
1860,0.839723,0.846645,0.844515,23.1564,0.843627667
1920,0.841853,0.847178,0.845048,23.1564,0.844693
1980,0.84345,0.84771,0.84558,23.0954,0.84558
2040,0.84558,0.848243,0.846113,23.0954,0.846645333
2100,0.846645,0.848775,0.846645,23.0954,0.847355
2160,0.84771,0.849308,0.84771,23.0954,0.848242667
2220,0.848775,0.84984,0.848243,23.0954,0.848952667
2280,0.84984,0.850373,0.848775,23.0954,0.849662667
2340,0.850905,0.850905,0.84984,23.0954,0.85055
2400,0.851438,0.851438,0.850373,23.0954,0.851083
2460,0.853035,0.85197,0.851438,23.0954,0.852147667
2520,0.853567,0.85197,0.85197,23.0954,0.852502333
2580,0.854632,0.852503,0.853035,23.0954,0.85339
2640,0.855697,0.852503,0.853567,23.0344,0.853922333
2700,0.855697,0.852503,0.854632,23.0344,0.854277333
2760,0.856762,0.853035,0.854632,23.0344,0.854809667
2820,0.857295,0.853035,0.855697,23.0344,0.855342333
2880,0.857827,0.853567,0.856762,23.0344,0.856052
2940,0.858892,0.8541,0.857295,23.0344,0.856762333
3000,0.859425,0.854632,0.857827,23.0954,0.857294667
3060,0.859957,0.854632,0.858892,23.0954,0.857827
3120,0.86049,0.854632,0.859425,23.0954,0.858182333
3180,0.861022,0.855165,0.859957,23.0954,0.858714667
3240,0.861555,0.854632,0.86049,23.0344,0.858892333
3300,0.862087,0.854632,0.861022,23.0344,0.859247
3360,0.861555,0.855165,0.861555,23.0344,0.859425
3420,0.862087,0.855165,0.862087,23.0344,0.859779667
3480,0.86262,0.855165,0.86262,23.0344,0.860135
3540,0.863152,0.855697,0.863152,22.9734,0.860667
3600,0.863685,0.855697,0.863685,22.9734,0.861022333
3660,0.864217,0.855697,0.864217,22.9734,0.861377
3720,0.864217,0.855697,0.865282,22.9123,0.861732
3780,0.86475,0.85623,0.865282,22.9123,0.862087333
3840,0.86475,0.85623,0.865815,22.9123,0.862265
3900,0.865282,0.856762,0.86688,22.8513,0.862974667
3960,0.865815,0.856762,0.86688,22.8513,0.863152333
4020,0.866347,0.856762,0.867412,22.7903,0.863507
4080,0.86688,0.856762,0.867944,22.7903,0.863862
4140,0.867412,0.857295,0.868477,22.7293,0.864394667
4200,0.867412,0.857295,0.869009,22.7293,0.864572
4260,0.867944,0.857295,0.869542,22.6682,0.864927
4320,0.868477,0.857295,0.869542,22.6682,0.865104667
4380,0.868477,0.857295,0.870074,22.6682,0.865282
4440,0.869009,0.857295,0.870074,22.6072,0.865459333
4500,0.869009,0.857295,0.870607,22.6072,0.865637
