***SENSOR SELECTION,,,,
CH 1-Voltage(±1V),,,,
CH 2-Voltage(±1V),,,,
CH 3-Voltage(±1V),,,,
INTERNAL,,,,
*** Sampling Rate ,,,,
1 Data Per 10 Secs,,,,
*** Duration to Monitor  ,,,,
5 Hours (Stopped before 4h),,,,
Time(s),V1,V2,V3,°C
0,-0.001597,0.236422,0.038338,20.6665
10,-0.000532,0.33919,0.040468,20.7471
20,-0.001065,0.290735,0.083067,20.7471
30,-0.001597,0.335996,0.074015,20.7471
40,-0.001065,0.366347,0.07295,20.7471
50,-0.00213,0.389776,0.073482,20.7471
60,-0.000532,0.381789,0.076145,20.7471
70,-0.001065,0.388711,0.077742,20.7471
80,-0.001597,0.374867,0.079872,20.7471
90,-0.002662,0.322684,0.081469,20.7471
100,-0.000532,0.286475,0.080404,20.7471
110,-0.001597,0.26837,0.086794,20.7471
120,-0.001597,0.292332,0.088924,20.7471
130,-0.00213,0.312034,0.091054,20.6665
140,-0.001597,0.305644,0.093184,20.7471
150,-0.002662,0.253461,0.095846,20.8276
160,-0.002662,0.252396,0.098509,20.8276
170,-0.002662,0.280618,0.101171,20.8276
180,-0.003727,0.283812,0.103301,20.9082
190,-0.00213,0.305644,0.105964,20.9082
200,-0.00213,0.288072,0.108626,20.9082
210,-0.00213,0.324813,0.110756,20.9082
220,-0.002662,0.331736,0.113418,20.9082
230,-0.00213,0.321086,0.115548,20.8276
240,-0.00213,0.328541,0.118211,20.9082
250,-0.003195,0.346645,0.120341,20.8276
260,-0.00213,0.273695,0.121938,20.8276
270,-0.00213,0.266773,0.124068,20.9082
280,-0.00213,0.282215,0.12673,20.8276
290,-0.00213,0.285942,0.12886,20.8276
300,-0.003195,0.279553,0.131523,20.8276
310,-0.001597,0.273695,0.133653,20.8276
320,-0.00213,0.261981,0.136848,20.8276
330,-0.00213,0.265176,0.138977,20.8276
340,-0.001597,0.266773,0.141107,20.7471
350,-0.001597,0.275825,0.142705,20.8276
360,-0.002662,0.283812,0.144835,20.8276
370,-0.00213,0.279553,0.1459,20.7471
380,-0.00213,0.277955,0.147497,20.7471
390,-0.00213,0.28115,0.149095,20.7471
400,-0.00213,0.318956,0.15016,20.7471
410,-0.00213,0.331736,0.151225,20.7471
420,-0.00213,0.294995,0.152822,20.8276
430,-0.002662,0.296059,0.153354,20.7471
440,-0.00213,0.302982,0.154419,20.7471
450,-0.00213,0.319489,0.154952,20.7471
460,-0.002662,0.298722,0.156017,20.7471
470,-0.00213,0.282747,0.156017,20.6665
480,-0.002662,0.422257,0.156549,20.7471
490,-0.00213,0.812034,0.158147,20.7471
500,-0.00213,0.816294,0.158147,20.6665
510,-0.00213,0.814164,0.158147,20.7471
520,-0.00213,0.818956,0.158147,20.7471
530,-0.00213,0.819489,0.158147,20.7471
540,-0.00213,0.820021,0.158679,20.7471
550,-0.00213,0.820554,0.159744,20.7471
560,-0.003195,0.821086,0.159212,20.6665
570,-0.00213,0.821619,0.158679,20.6665
580,-0.00213,0.821619,0.158679,20.7471
590,-0.00213,0.822151,0.158679,20.6665
600,-0.003727,0.822151,0.158679,20.6665
610,-0.002662,0.822151,0.158679,20.6665
620,-0.00213,0.817891,0.158147,20.6665
630,-0.00213,0.821619,0.158147,20.6665
640,-0.002662,0.816826,0.158147,20.6665
650,-0.00213,0.823216,0.158147,20.6665
660,-0.00213,0.823216,0.157614,20.6665
670,-0.003195,0.823216,0.157614,20.6665
680,-0.001597,0.823216,0.157614,20.6665
690,-0.001597,0.823216,0.157614,20.6665
700,-0.00213,0.823216,0.157614,20.6665
710,-0.00213,0.823749,0.157082,20.6665
720,-0.00213,0.823749,0.157082,20.6665
730,-0.00213,0.823749,0.157614,20.6665
740,-0.00213,0.823749,0.157082,20.6665
750,-0.00213,0.823749,0.156549,20.5859
760,-0.00213,0.823749,0.156549,20.6665
770,-0.00213,0.823749,0.156549,20.5859
780,-0.001597,0.823749,0.156549,20.6665
790,-0.00213,0.824281,0.156017,20.6665
800,-0.002662,0.824281,0.155484,20.5859
810,-0.003195,0.824281,0.155484,20.5859
820,-0.00213,0.824281,0.155484,20.6665
830,-0.00213,0.824281,0.155484,20.5859
840,-0.00213,0.824281,0.155484,20.6665
850,-0.001597,0.824281,0.154952,20.5859
860,-0.00213,0.824281,0.154952,20.5859
870,-0.00213,0.824281,0.154952,20.6665
880,-0.00213,0.824281,0.155484,20.6665
890,-0.00213,0.824281,0.155484,20.6665
900,-0.00213,0.824281,0.155484,20.5859
910,-0.00213,0.824281,0.156549,20.5859
920,-0.002662,0.824281,0.157082,20.5859
930,-0.001597,0.824281,0.157614,20.5859
940,-0.00213,0.824281,0.158679,20.5859
950,-0.003195,0.824281,0.159212,20.5859
960,-0.00213,0.824281,0.159744,20.5859
970,-0.003727,0.824281,0.160277,20.5859
980,-0.001597,0.824281,0.160809,20.5859
990,-0.00213,0.824281,0.161342,20.5859
1000,-0.00213,0.824281,0.162407,20.5859
1010,-0.00213,0.824281,0.162407,20.5859
1020,-0.002662,0.824281,0.162407,20.5859
1030,-0.00213,0.824281,0.162939,20.5859
1040,-0.003727,0.824281,0.163472,20.5859
1050,-0.001597,0.824281,0.164004,20.5859
1060,-0.00213,0.824281,0.164537,20.5859
1070,-0.001597,0.824281,0.165069,20.5859
1080,-0.003195,0.824281,0.165602,20.5859
1090,-0.00213,0.824281,0.166666,20.5859
1100,-0.00213,0.824281,0.167199,20.6665
1110,-0.00213,0.824281,0.168264,20.5859
1120,-0.00213,0.824281,0.168796,20.5859
1130,-0.003195,0.824281,0.169329,20.5859
1140,-0.002662,0.824281,0.170394,20.5859
1150,-0.00213,0.823749,0.170926,20.5859
1160,-0.00213,0.823749,0.171459,20.5859
1170,-0.00213,0.823749,0.171991,20.5859
1180,-0.002662,0.823749,0.173589,20.5859
1190,-0.00213,0.823749,0.174654,20.5859
1200,-0.00213,0.823749,0.175719,20.5859
1210,-0.002662,0.823749,0.177316,20.5859
1220,-0.003727,0.823749,0.178381,20.5859
1230,-0.00213,0.823749,0.179446,20.5859
1240,-0.002662,0.823749,0.182108,20.5859
1250,-0.00213,0.823749,0.184771,20.6665
1260,-0.001597,0.823216,0.189563,20.6665
