***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
INTERNAL
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 
Time(s),V,V,V,°C
0,0.684771,0.671459,0.711395,24.0503
60,0.748136,0.758786,0.784345,24.3725
120,0.775825,0.784877,0.798722,24.4531
180,0.787007,0.797124,0.807774,24.2920
240,0.793930,0.805112,0.813631,24.1308
300,0.799254,0.810436,0.816826,24.0503
360,0.802982,0.814164,0.820021,23.9697
420,0.806177,0.816294,0.821619,23.8891
480,0.807774,0.818956,0.822151,23.8086
540,0.808839,0.820021,0.822684,23.9697
600,0.809372,0.820554,0.823216,23.9697
660,0.809372,0.821086,0.823216,23.8891
720,0.809904,0.821619,0.822684,23.8086
780,0.809372,0.821619,0.822684,23.7280
840,0.809372,0.821619,0.822684,23.7280
900,0.809372,0.822151,0.822151,23.5669
960,0.809372,0.821619,0.822151,23.5669
1020,0.809372,0.822151,0.822151,23.4863
1080,0.809372,0.822151,0.821619,23.4057
1140,0.809904,0.822151,0.821619,23.4057
1200,0.809904,0.822151,0.821619,23.4057
1260,0.810436,0.822151,0.821086,23.5669
1320,0.811501,0.822151,0.821086,23.6474
1380,0.812566,0.822151,0.821086,23.5669
1440,0.813099,0.822151,0.821086,23.4863
1500,0.814164,0.822151,0.821086,23.4057
1560,0.815229,0.822684,0.821086,23.4057
1620,0.815761,0.822151,0.821086,23.3252
1680,0.816294,0.822684,0.821086,23.3252
1740,0.816826,0.822684,0.821086,23.2446
1800,0.817359,0.822684,0.820554,23.2446
1860,0.817891,0.822684,0.820554,23.1640
1920,0.817891,0.823216,0.820554,23.2446
1980,0.818424,0.823216,0.820021,23.0835
2040,0.818424,0.823216,0.820021,23.0835
2100,0.818956,0.823216,0.819489,23.0835
2160,0.818956,0.823216,0.819489,23.0029
2220,0.818956,0.823216,0.819489,23.0029
2280,0.818956,0.823216,0.819489,23.0029
2340,0.818956,0.823216,0.819489,22.9223
2400,0.818956,0.823216,0.819489,22.9223
2460,0.818956,0.823216,0.819489,22.9223
2520,0.819489,0.822684,0.819489,22.8418
2580,0.819489,0.823216,0.819489,22.7612
2640,0.819489,0.823216,0.819489,22.8418
2700,0.819489,0.823216,0.819489,22.7612
2760,0.819489,0.822684,0.819489,22.7612
2820,0.819489,0.822684,0.819489,22.6806
2880,0.819489,0.822684,0.820021,22.7612
2940,0.819489,0.822684,0.820021,22.6806
3000,0.820021,0.822684,0.820021,22.7612
3060,0.820021,0.822684,0.820021,22.6806
3120,0.820021,0.822684,0.820554,22.6806
3180,0.820554,0.823216,0.820554,22.6806
3240,0.820554,0.822684,0.820554,22.6806
3300,0.820554,0.823216,0.821086,22.6806
3360,0.821086,0.823216,0.821086,22.6001
3420,0.821086,0.823216,0.821619,22.5195
3480,0.821619,0.823216,0.821619,22.6001
3540,0.821619,0.822684,0.821619,22.6001
3600,0.822151,0.822151,0.821619,22.6001
3660,0.822684,0.822151,0.821619,22.6001
3720,0.822684,0.822151,0.821619,22.6001
3780,0.822684,0.821619,0.821086,22.6001
3840,0.823216,0.822151,0.821086,22.6001
3900,0.823216,0.821619,0.821619,22.6001
3960,0.823216,0.821619,0.821619,22.6001
4020,0.823216,0.821619,0.821086,22.6001
4080,0.823216,0.821086,0.820554,22.6806
4140,0.823216,0.820554,0.820021,22.6001
4200,0.823749,0.820554,0.820021,22.6806
4260,0.823749,0.820021,0.819489,22.6001
4320,0.823749,0.819489,0.819489,22.6001
4380,0.823749,0.819489,0.817891,22.6806
4440,0.823749,0.819489,0.816826,22.6806
4500,0.823749,0.818424,0.816294,22.6806
4560,0.823749,0.817359,0.815229,22.6806
4620,0.823749,0.816826,0.814696,22.6001
4680,0.823749,0.816294,0.814164,22.6001
4740,0.823749,0.815761,0.813099,22.6806
4800,0.823749,0.815229,0.812034,22.6806
4860,0.823216,0.814696,0.810969,22.6001
4920,0.823216,0.814164,0.810436,22.6001
4980,0.823216,0.814164,0.809904,22.6806
5040,0.822684,0.813631,0.808839,22.6001
5100,0.822684,0.813099,0.808307,22.6001
5160,0.822151,0.813099,0.807774,22.6001
5220,0.822151,0.812566,0.806709,22.6001
5280,0.821619,0.811501,0.806177,22.6001
5340,0.820554,0.811501,0.805112,22.6001
5400,0.820554,0.810969,0.804579,22.6806
5460,0.820021,0.809904,0.804047,22.6806
5520,0.819489,0.809372,0.803514,22.6806
5580,0.819489,0.809372,0.802982,22.6806
5640,0.819489,0.808839,0.802449,22.6806
5700,0.818424,0.808839,0.801384,22.6001
5760,0.817359,0.808307,0.800852,22.6806
5820,0.816294,0.807774,0.800319,22.6806
5880,0.815761,0.807242,0.799787,22.6806
5940,0.815229,0.806709,0.799254,22.7612
6000,0.814696,0.806177,0.798189,22.6806
6060,0.814164,0.805644,0.797657,22.6806
6120,0.814164,0.805112,0.797124,22.7612
6180,0.813631,0.804579,0.796592,22.6806
6240,0.813099,0.804579,0.796592,22.6001
6300,0.812034,0.803514,0.796059,22.6001
6360,0.810969,0.802982,0.794995,22.6806
6420,0.809904,0.802449,0.794462,22.6806
6480,0.809372,0.802449,0.794462,22.6806
6540,0.808839,0.801917,0.793930,22.6806
6600,0.808307,0.801917,0.792332,22.6806
6660,0.807774,0.801384,0.792332,22.6806
6720,0.807242,0.800319,0.791800,22.6806
6780,0.807242,0.800319,0.790735,22.6806
6840,0.806177,0.799254,0.790202,22.6806
6900,0.805644,0.798722,0.789670,22.7612
6960,0.804579,0.798722,0.788605,22.6806
7020,0.804047,0.799254,0.788072,22.6806
7080,0.802449,0.798722,0.787540,22.6806
7140,0.801917,0.798722,0.786475,22.6001
7200,0.801917,0.798722,0.785942,22.6806
7260,0.801384,0.798722,0.785410,22.5195
7320,0.800852,0.798189,0.784345,22.4389
7380,0.799787,0.798189,0.783812,22.3584
7440,0.798722,0.797657,0.783280,22.2778
7500,0.797657,0.797124,0.782215,22.2778
7560,0.797657,0.797124,0.781682,22.2778
7620,0.797124,0.796592,0.781150,22.2778
7680,0.796592,0.796592,0.780618,22.2778
7740,0.796059,0.796059,0.780085,22.2778
7800,0.794995,0.796059,0.779553,22.2778
7860,0.793930,0.795527,0.779020,22.2778
7920,0.793397,0.795527,0.777955,22.2778
7980,0.792332,0.794995,0.777423,22.2778
8040,0.791800,0.794462,0.776358,22.2778
8100,0.791267,0.794462,0.775825,22.3584
