***SENSOR SELECTION,,,,,
CH 1-Voltage(±1V),,,,,
CH 2-Voltage(±1V),,,,,
CH 3-Voltage(±1V),,,,,
INTERNAL,,,,,
*** Sampling Rate ,,,,,
1 Data Per 1 Min,,,,,
*** Duration to Monitor  ,,,,,
1 Day,,,,,
Start: 06-DEC-2022  07:34PM,,,,,
Time(s),V1,V2,V3,°C,Vavg
0,0.130458,0.502662,0.052715,,0.228611667
60,0.130458,0.257188,0.791267,26.5126,0.392971
120,0.129393,0.245474,0.798722,26.2685,0.391196333
180,0.131523,0.235357,0.803514,25.9634,0.390131333
240,0.145367,0.225772,0.807242,25.7193,0.392793667
300,0.144835,0.21672,0.809372,25.4752,0.390309
360,0.149627,0.209265,0.810969,25.2921,0.389953667
420,0.156017,0.202343,0.811501,25.1091,0.389953667
480,0.159212,0.196485,0.812034,24.987,0.389243667
540,0.163472,0.190628,0.812566,24.865,0.388888667
600,0.167731,0.184771,0.812566,24.804,0.388356
660,0.170926,0.179446,0.812566,24.6819,0.387646
720,0.174654,0.174121,0.812566,24.5599,0.387113667
780,0.177849,0.169329,0.812034,24.4989,0.386404
840,0.182108,0.165069,0.812034,24.3768,0.386403667
900,0.185836,0.159744,0.812034,24.3158,0.385871333
960,0.189031,0.156017,0.811501,24.1938,0.385516333
1020,0.192226,0.151757,0.811501,24.1938,0.385161333
1080,0.19542,0.149095,0.811501,24.0717,0.385338667
1140,0.198615,0.1459,0.811501,24.0107,0.385338667
1200,0.202343,0.143237,0.811501,23.9497,0.385693667
1260,0.205005,0.140042,0.811501,23.9497,0.385516
1320,0.207668,0.137912,0.811501,23.8887,0.385693667
1380,0.210862,0.135783,0.812034,23.8276,0.386226333
1440,0.214057,0.133653,0.812034,23.7666,0.386581333
1500,0.216187,0.131523,0.813099,23.7666,0.386936333
1560,0.219382,0.129925,0.813099,23.7056,0.387468667
1620,0.221512,0.127795,0.813631,23.7056,0.387646
1680,0.224174,0.126198,0.813631,23.6446,0.388001
1740,0.226837,0.1246,0.814164,23.6446,0.388533667
1800,0.228967,0.123003,0.814164,23.6446,0.388711333
1860,0.232162,0.121938,0.814696,23.5836,0.389598667
1920,0.235357,0.120341,0.814696,23.5836,0.390131333
1980,0.238019,0.118743,0.814696,23.5225,0.390486
2040,0.239616,0.117146,0.815229,23.5225,0.390663667
2100,0.242279,0.116081,0.815761,23.5225,0.391373667
2160,0.243876,0.114483,0.815761,23.5225,0.391373333
2220,0.246539,0.112886,0.816294,23.4615,0.391906333
2280,0.249201,0.111821,0.816294,23.4615,0.392438667
2340,0.250799,0.110223,0.816294,23.4615,0.392438667
2400,0.252928,0.108626,0.816826,23.4005,0.392793333
2460,0.255058,0.107029,0.816826,23.4005,0.392971
2520,0.257188,0.106496,0.816826,23.4005,0.393503333
2580,0.258786,0.104899,0.816826,23.4005,0.393503667
2640,0.260383,0.103834,0.816826,23.4005,0.393681
2700,0.261981,0.102769,0.816826,23.3395,0.393858667
2760,0.264111,0.101704,0.816826,23.3395,0.394213667
2820,0.266241,0.101171,0.816826,23.3395,0.394746
2880,0.267305,0.100106,0.816826,23.3395,0.394745667
2940,0.268903,0.099041,0.817359,23.3395,0.395101
3000,0.2705,0.098509,0.817359,23.3395,0.395456
3060,0.27263,0.097444,0.817359,23.2785,0.395811
3120,0.274228,0.096379,0.816826,23.2785,0.395811
3180,0.275825,0.095846,0.816826,23.2785,0.396165667
3240,0.27689,0.094781,0.816826,23.2785,0.396165667
3300,0.278488,0.094249,0.816826,23.2785,0.396521
3360,0.280085,0.093717,0.816826,23.2785,0.396876
3420,0.282215,0.093184,0.816826,23.2785,0.397408333
3480,0.283812,0.092652,0.816826,23.2785,0.397763333
3540,0.28541,0.092119,0.816826,23.2174,0.398118333
3600,0.286475,0.091054,0.816826,23.2174,0.398118333
3660,0.288072,0.090522,0.816826,23.2174,0.398473333
3720,0.28967,0.090522,0.816826,23.2174,0.399006
3780,0.291267,0.089989,0.816826,23.2174,0.399360667
3840,0.2918,0.089457,0.816826,23.2174,0.399361
3900,0.29393,0.088924,0.816826,23.1564,0.399893333
3960,0.294462,0.087859,0.816826,23.1564,0.399715667
4020,0.295527,0.087327,0.816826,23.1564,0.399893333
4080,0.296592,0.086794,0.816826,23.1564,0.400070667
4140,0.297657,0.086794,0.816826,23.1564,0.400425667
4200,0.299787,0.086262,0.816826,23.1564,0.400958333
4260,0.300319,0.085729,0.816826,23.1564,0.400958
4320,0.301384,0.085197,0.816294,23.1564,0.400958333
4380,0.302449,0.084132,0.816294,23.1564,0.400958333
4440,0.303514,0.083599,0.816294,23.0954,0.401135667
4500,0.304579,0.083067,0.816294,23.0954,0.401313333
4560,0.305112,0.082534,0.815761,23.0954,0.401135667
4620,0.306177,0.082002,0.815761,23.0954,0.401313333
4680,0.307242,0.082002,0.815761,23.0954,0.401668333
4740,0.308307,0.082002,0.815761,23.0954,0.402023333
4800,0.309372,0.081469,0.815761,23.0954,0.402200667
4860,0.311501,0.080937,0.815229,23.0954,0.402555667
4920,0.312566,0.080404,0.815761,23.0344,0.402910333
4980,0.313631,0.079872,0.815761,23.0344,0.403088
5040,0.313631,0.07934,0.815761,23.0344,0.402910667
5100,0.314696,0.078807,0.815761,23.0344,0.403088
5160,0.315761,0.078275,0.815761,23.0344,0.403265667
5220,0.316294,0.078275,0.815761,23.0344,0.403443333
5280,0.317359,0.077742,0.815761,23.0344,0.403620667
5340,0.317891,0.07721,0.815761,23.0344,0.403620667
5400,0.319489,0.07721,0.815761,23.0344,0.404153333
5460,0.320021,0.076677,0.815229,23.0344,0.403975667
5520,0.321086,0.076677,0.815229,23.0344,0.404330667
5580,0.322151,0.076145,0.814696,22.9734,0.404330667
5640,0.323216,0.076145,0.814696,22.9734,0.404685667
5700,0.323749,0.075612,0.814164,22.9734,0.404508333
5760,0.324281,0.07508,0.814164,22.9734,0.404508333
5820,0.325346,0.074547,0.814164,22.9734,0.404685667
5880,0.326411,0.074015,0.813631,22.9734,0.404685667
5940,0.326943,0.073482,0.813631,22.9734,0.404685333
6000,0.328008,0.072417,0.812566,22.9734,0.404330333
6060,0.328541,0.072417,0.812034,22.9734,0.404330667
6120,0.329606,0.072417,0.811501,22.9734,0.404508
6180,0.330671,0.072417,0.810969,22.9734,0.404685667
6240,0.331203,0.07295,0.810436,22.9734,0.404863
6300,0.332801,0.07295,0.810436,22.9734,0.405395667
6360,0.332801,0.073482,0.809904,22.9123,0.405395667
6420,0.333866,0.07295,0.809372,22.9123,0.405396
6480,0.334398,0.071885,0.808839,22.9123,0.405040667
6540,0.335463,0.071352,0.808307,22.9123,0.405040667
6600,0.335996,0.07082,0.807242,22.9123,0.404686
6660,0.336528,0.070287,0.806177,22.9123,0.404330667
6720,0.337593,0.069755,0.805644,22.9123,0.404330667
6780,0.338658,0.069755,0.804579,22.9123,0.404330667
6840,0.33919,0.069222,0.804047,22.9123,0.404153
6900,0.339723,0.06869,0.802982,22.9123,0.403798333
6960,0.340255,0.068157,0.802449,22.8513,0.403620333
7020,0.34132,0.068157,0.801384,22.8513,0.403620333
7080,0.341853,0.067625,0.800852,22.8513,0.403443333
7140,0.342918,0.067092,0.800319,22.8513,0.403443
7200,0.342918,0.06656,0.799254,22.8513,0.402910667
7260,0.343983,0.066027,0.798189,22.8513,0.402733
7320,0.344515,0.065495,0.797657,22.8513,0.402555667
7380,0.345048,0.064963,0.796592,22.8513,0.402201
7440,0.34558,0.06443,0.795527,22.8513,0.401845667
7500,0.346113,0.063898,0.794995,22.8513,0.401668667
7560,0.346645,0.063898,0.79393,22.8513,0.401491
7620,0.34771,0.063898,0.792865,22.8513,0.401491
7680,0.348243,0.063898,0.7918,22.8513,0.401313667
7740,0.348775,0.063898,0.791267,22.7903,0.401313333
7800,0.34984,0.063898,0.790202,22.7903,0.401313333
7860,0.350373,0.063365,0.78967,22.7903,0.401136
7920,0.350905,0.063365,0.788605,22.7903,0.400958333
7980,0.351438,0.062833,0.78754,22.7903,0.400603667
8040,0.35197,0.0623,0.786475,22.7903,0.400248333
8100,0.352503,0.061768,0.785942,22.7903,0.400071
8160,0.353567,0.061235,0.784877,22.7903,0.399893
8220,0.353567,0.060703,0.783812,22.7903,0.399360667
8280,0.354632,0.06017,0.78328,22.7903,0.399360667
8340,0.355165,0.059638,0.782215,22.7903,0.399006
8400,0.355697,0.059105,0.781682,22.7903,0.398828
8460,0.356762,0.058573,0.780618,22.7903,0.398651
8520,0.357295,0.05804,0.779553,22.7903,0.398296
8580,0.357827,0.057508,0.77902,22.7903,0.398118333
8640,0.357827,0.056975,0.777955,22.7903,0.397585667
8700,0.358892,0.056443,0.777423,22.7903,0.397586
8760,0.359957,0.05591,0.776358,22.7903,0.397408333
8820,0.36049,0.055378,0.775825,22.7903,0.397231
8880,0.361022,0.055378,0.77476,22.7903,0.397053333
8940,0.361022,0.055378,0.773695,22.7903,0.396698333
9000,0.361555,0.054845,0.773163,22.7293,0.396521
9060,0.36262,0.054313,0.772098,22.7293,0.396343667
9120,0.363152,0.054313,0.771033,22.7293,0.396166
9180,0.363152,0.05378,0.769968,22.7293,0.395633333
9240,0.363685,0.053248,0.768903,22.7293,0.395278667
9300,0.36475,0.052715,0.767838,22.7293,0.395101
9360,0.365282,0.052183,0.766773,22.7293,0.394746
9420,0.365814,0.05165,0.765708,22.7293,0.394390667
9480,0.366347,0.050586,0.764643,22.7293,0.393858667
9540,0.36688,0.050053,0.763578,22.7293,0.393503667
9600,0.367412,0.049521,0.761981,22.7293,0.392971333
9660,0.367944,0.048988,0.760916,22.7293,0.392616
9720,0.367944,0.048456,0.759318,22.7293,0.391906
9780,0.369542,0.047923,0.758253,22.7293,0.391906
9840,0.369542,0.046858,0.756656,22.7293,0.391018667
9900,0.370607,0.046326,0.756123,22.7293,0.391018667
9960,0.370607,0.045793,0.754526,22.7293,0.390308667
10020,0.371139,0.045261,0.753461,22.7293,0.389953667
10080,0.372204,0.044728,0.752396,22.7293,0.389776
10140,0.372737,0.044196,0.751864,22.7293,0.389599
10200,0.373269,0.043663,0.750799,22.7293,0.389243667
10260,0.373269,0.043131,0.749734,22.7293,0.388711333
10320,0.373802,0.042598,0.749201,22.7293,0.388533667
10380,0.374867,0.042066,0.748136,22.6682,0.388356333
10440,0.374867,0.042066,0.747071,22.6682,0.388001333
10500,0.375399,0.041533,0.745474,22.6682,0.387468667
10560,0.375399,0.041001,0.744409,22.6682,0.386936333
10620,0.375932,0.040468,0.743344,22.6682,0.386581333
10680,0.376997,0.039936,0.742279,22.6682,0.386404
10740,0.377529,0.039403,0.741214,22.6682,0.386048667
10800,0.377529,0.039403,0.739616,22.6682,0.385516
10860,0.377529,0.039403,0.738019,22.6682,0.384983667
10920,0.378594,0.038871,0.736954,22.6682,0.384806333
10980,0.379127,0.038871,0.735357,22.6682,0.384451667
11040,0.379659,0.038338,0.734292,22.6682,0.384096333
11100,0.380191,0.037806,0.732694,22.6682,0.383563667
11160,0.380724,0.037273,0.731629,22.6682,0.383208667
11220,0.381257,0.037273,0.730564,22.6682,0.383031333
11280,0.381257,0.036741,0.728967,22.6682,0.382321667
11340,0.381789,0.036209,0.727902,22.6682,0.381966667
11400,0.382321,0.036209,0.726837,22.6682,0.381789
11460,0.382854,0.035676,0.726304,22.6682,0.381611333
11520,0.383386,0.035144,0.725239,22.6682,0.381256333
11580,0.383919,0.036209,0.724707,22.6682,0.381611667
11640,0.384451,0.035676,0.723642,22.6682,0.381256333
11700,0.384984,0.035144,0.72311,22.6682,0.381079333
11760,0.385516,0.035144,0.722577,22.6682,0.381079
11820,0.385516,0.034611,0.722045,22.6682,0.380724
11880,0.386049,0.034611,0.721512,22.6682,0.380724
11940,0.386581,0.034079,0.72098,22.6682,0.380546667
12000,0.387114,0.034079,0.720447,22.6072,0.380546667
12060,0.387114,0.034079,0.720447,22.6072,0.380546667
12120,0.388179,0.034079,0.719915,22.6072,0.380724333
12180,0.388711,0.033546,0.720447,22.6072,0.380901333
12240,0.389244,0.033546,0.719915,22.6072,0.380901667
12300,0.389776,0.033546,0.719382,22.6072,0.380901333
12360,0.389776,0.034079,0.719382,22.6072,0.381079
12420,0.390309,0.034611,0.71885,22.6072,0.381256667
12480,0.390841,0.034611,0.71885,22.6072,0.381434
12540,0.390841,0.034079,0.71885,22.6072,0.381256667
12600,0.391374,0.034079,0.718317,22.6072,0.381256667
12660,0.391906,0.034079,0.718317,22.6072,0.381434
12720,0.392439,0.034079,0.717785,22.6072,0.381434333
12780,0.392439,0.034079,0.717252,22.6072,0.381256667
12840,0.393504,0.034079,0.71672,22.6072,0.381434333
12900,0.393504,0.034079,0.716187,22.6072,0.381256667
12960,0.394036,0.034079,0.715655,22.6072,0.381256667
13020,0.395101,0.034611,0.715122,22.6072,0.381611333
13080,0.395101,0.034079,0.715122,22.6072,0.381434
13140,0.395101,0.034079,0.71459,22.6072,0.381256667
13200,0.395634,0.034611,0.71459,22.6072,0.381611667
13260,0.396166,0.034611,0.71459,22.6072,0.381789
13320,0.396698,0.034611,0.714057,22.6072,0.381788667
13380,0.397763,0.034611,0.714057,22.6072,0.382143667
13440,0.397763,0.034611,0.713525,22.6072,0.381966333
13500,0.397763,0.034611,0.713525,22.6072,0.381966333
13560,0.398296,0.035144,0.713525,22.6072,0.382321667
13620,0.399361,0.035144,0.713525,22.6072,0.382676667
13680,0.398828,0.035144,0.712992,22.6072,0.382321333
13740,0.399893,0.035144,0.712992,22.6072,0.382676333
13800,0.400426,0.035144,0.712992,22.6072,0.382854
13860,0.400958,0.035144,0.71246,22.5462,0.382854
13920,0.400958,0.035144,0.71246,22.6072,0.382854
13980,0.401491,0.035144,0.711927,22.6072,0.382854
14040,0.401491,0.035144,0.711395,22.5462,0.382676667
14100,0.402023,0.035144,0.710862,22.5462,0.382676333
14160,0.402023,0.035144,0.71033,22.5462,0.382499
14220,0.402556,0.035676,0.709797,22.5462,0.382676333
14280,0.402556,0.035144,0.709265,22.5462,0.382321667
14340,0.403621,0.035676,0.708733,22.5462,0.382676667
14400,0.404153,0.035144,0.7082,22.5462,0.382499
14460,0.404686,0.035676,0.7082,22.5462,0.382854
14520,0.404686,0.035676,0.707668,22.5462,0.382676667
14580,0.405218,0.035676,0.707668,22.5462,0.382854
14640,0.405751,0.035676,0.707135,22.5462,0.382854
14700,0.405751,0.035676,0.707135,22.5462,0.382854
14760,0.406283,0.036209,0.707135,22.5462,0.383209
14820,0.406816,0.035676,0.707135,22.5462,0.383209
14880,0.406816,0.036209,0.706603,22.5462,0.383209333
