***SENSOR SELECTION
CH 1-Voltage(±1V)
CH 2-Voltage(±1V)
CH 3-Voltage(±1V)
*** Sampling Rate 
1 Data Per 1 Min
*** Duration to Monitor  
1 Day
Start: 12-DEC-2022  02:52PM
Time(s),V,V,V
0,0.525559,0.027156,0.619808
60,0.543663,0.785942,0.753993
120,0.542598,0.801917,0.777955
180,0.536741,0.809904,0.789137
240,0.527689,0.815761,0.795527
300,0.516507,0.820021,0.800319
360,0.506390,0.823216,0.804047
420,0.498935,0.825346,0.806177
480,0.492013,0.826943,0.808307
540,0.485623,0.828541,0.809372
600,0.479765,0.829606,0.810436
660,0.474441,0.830138,0.810969
720,0.468583,0.830671,0.811501
780,0.463259,0.831203,0.811501
840,0.457401,0.831203,0.811501
900,0.451544,0.831203,0.811501
960,0.445687,0.831736,0.810969
1020,0.439829,0.831736,0.810969
1080,0.434505,0.831203,0.810436
1140,0.428647,0.831203,0.810436
1200,0.422790,0.831203,0.810436
1260,0.417465,0.831203,0.809904
1320,0.412673,0.831203,0.809904
1380,0.407881,0.830671,0.809904
1440,0.403088,0.830671,0.810436
1500,0.398296,0.830671,0.810969
1560,0.394036,0.830671,0.812034
1620,0.390309,0.831203,0.813099
1680,0.382321,0.831203,0.813631
1740,0.380724,0.831203,0.814696
1800,0.376464,0.831736,0.815229
1860,0.372204,0.831736,0.815761
1920,0.368477,0.831736,0.816826
1980,0.364217,0.831736,0.817359
2040,0.360490,0.831736,0.818424
2100,0.356230,0.832268,0.818956
2160,0.352503,0.832268,0.819489
2220,0.348775,0.832268,0.820554
2280,0.345048,0.832268,0.821086
2340,0.341320,0.832268,0.821619
2400,0.338126,0.832268,0.822684
2460,0.334398,0.832268,0.823216
2520,0.330671,0.832268,0.823749
2580,0.326943,0.832801,0.824281
2640,0.323749,0.832801,0.824813
2700,0.320021,0.832801,0.825346
2760,0.316826,0.833333,0.825878
2820,0.313631,0.833333,0.826411
2880,0.310436,0.833866,0.826943
2940,0.307242,0.833866,0.828008
3000,0.304047,0.834398,0.828541
3060,0.300852,0.834398,0.829073
3120,0.297657,0.834931,0.829606
3180,0.294995,0.835463,0.830671
3240,0.291800,0.835463,0.831203
3300,0.288605,0.835996,0.832268
3360,0.285410,0.836528,0.832801
3420,0.282215,0.837061,0.833333
3480,0.279020,0.837061,0.834398
3540,0.276358,0.837593,0.835463
3600,0.273163,0.838126,0.835996
3660,0.270500,0.838126,0.836528
3720,0.267838,0.838658,0.837061
3780,0.264643,0.839190,0.837593
3840,0.261981,0.839723,0.838658
3900,0.259318,0.839723,0.839190
3960,0.256123,0.840255,0.840255
4020,0.253461,0.840788,0.841853
4080,0.250266,0.841320,0.842385
4140,0.247604,0.841320,0.842918
4200,0.244409,0.841853,0.843983
4260,0.241746,0.842385,0.844515
4320,0.239084,0.842918,0.845048
4380,0.235889,0.842918,0.845580
4440,0.233227,0.842918,0.846113
4500,0.230032,0.843450,0.846645
4560,0.227902,0.843983,0.847178
4620,0.225239,0.843983,0.847710
4680,0.222577,0.843983,0.848243
4740,0.219915,0.843983,0.848243
4800,0.217252,0.844515,0.848775
4860,0.214590,0.844515,0.849308
4920,0.212460,0.844515,0.849308
4980,0.209797,0.844515,0.849840
5040,0.207668,0.844515,0.850373
5100,0.205005,0.844515,0.850905
